model,selected_fraction,selected_rows_mean,selected_rows_std,precision_in_selected_mean,precision_in_selected_std,recall_of_true_top25_mean,recall_of_true_top25_std,f1_selected_mean,f1_selected_std,baseline_positive_rate_test_mean,baseline_positive_rate_test_std
logistic_C1_unweighted,0.1,37.6,0.5477225575051667,0.9150782361308677,0.03917169477828116,0.39449507884882595,0.03601522104963064,0.5508019823613539,0.039170230683745776,0.23483238064017714,0.015298888549094562
logistic_C1_unweighted,0.15,56.4,0.547722557505166,0.8901629072681704,0.04201827450485832,0.5748037905380845,0.03937458685956882,0.6979995350216667,0.03672783415708172,0.23483238064017714,0.015298888549094562
logistic_C1_unweighted,0.2,75.0,1.0000000000000004,0.8134869606448554,0.049037168591464786,0.6971004963813293,0.025246702505627525,0.7501535740021638,0.027428162263109613,0.23483238064017714,0.015298888549094562
logistic_C1_unweighted,0.25,93.8,1.3038404810405295,0.7207835133475419,0.04875211088536159,0.7718256237494204,0.01387955900233327,0.7447623843075469,0.029136733554668923,0.23483238064017714,0.015298888549094562
logistic_C1_unweighted,0.3,112.4,1.516575088810311,0.6298541963015648,0.04126195531890334,0.8083850207275896,0.018946297080615952,0.7074758588504718,0.029735580120336464,0.23483238064017714,0.015298888549094562
