site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,next_visit_start_date,site_confidence,match_quality,site_review_reason,split_id,model,actual_repollution_kg_per_day,actual_top25,predicted_top25_score
954,954,ΚΕΑ,ΠΑΡΑΛΊΑ ΚΟΡΙΣΣΙΆ,ΚΈΑ ΠΑΡΑΛΊΑ 19,2020-04-13,2020-05-16,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,1.696969696969697,1,0.8564044486268935
957,957,ΚΕΑ,ΠΑΡΑΛΊΑ ΟΤΖΙΆ,ΚΈΑ ΠΑΡΑΛΊΑ 22,2020-04-13,2020-05-13,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,7.166666666666667,1,0.6490527097759532
965,965,ΚΕΑ,ΠΑΡΑΛΊΆ ΌΡΚΟΥ,ΚΈΑ ΠΑΡΑΛΊΑ 30,2020-04-14,2020-05-20,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,0.3055555555555556,1,0.7955090920151183
969,969,ΚΕΑ,ΠΑΡΑΛΊΑ ΚΑΛΙΣΚΙΆ,ΚΈΑ ΠΑΡΑΛΊΑ 34,2020-04-14,2020-05-10,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,1.3461538461538465,1,0.799314399102219
970,970,ΚΕΑ,ΠΑΡΑΛΊΑ ΣΤΕΦΆ,ΚΈΑ ΠΑΡΑΛΊΑ 35,2020-04-17,2020-05-10,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,3.608695652173913,1,0.6349413026262763
975,975,ΚΥΘΝΟΣ,ΠΑΡΑΛΊΑ ΚΑΒΟΥΡΟΧΈΡΙ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 4,2020-04-17,2020-05-01,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,0.5714285714285714,1,0.6893478524529109
976,976,ΚΥΘΝΟΣ,ΠΑΡΑΛΊΑ ΜΑΡΟΎΛΑ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 5,2020-04-17,2020-05-01,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,1.2142857142857142,1,0.6893477708923201
976,976,ΚΥΘΝΟΣ 2η ΦΟΡΑ,ΠΑΡΑΛΊΑ ΜΑΡΟΎΛΙΑ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 6 | ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 7,2020-05-01,2024-04-18,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.03937483959844975
980,980,ΚΥΘΝΟΣ,ΠΑΡΑΛΊΑ ΛΙΒΑΔΆΚΗ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 9,2020-04-18,2020-05-02,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,10.5,1,0.6511377508398314
980,980,ΚΥΘΝΟΣ 2η ΦΟΡΑ,ΠΑΡΑΛΊΑ ΛΙΒΑΔΆΚΙ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 13,2020-05-02,2024-04-18,high,canonical_high,multiple_regions,2,logistic_C1_unweighted,0.0,0,0.07894943838636163
989,989,ΚΥΘΝΟΣ,ΠΑΡΑΛΊΑ ΚΑΛΌ ΛΙΒΆΔΙ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 19,2020-04-18,2020-05-04,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.0,0,0.6873398287915777
994,994,ΚΥΘΝΟΣ,ΠΑΡΑΛΊΑ ΣΙΜΟΎΣΣΙ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 24,2020-04-19,2020-05-04,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,0.8,1,0.8705351991723186
1002,1002,ΚΥΘΝΟΣ,ΠΑΡΑΛΊΑ ΦΛΑΜΠΟΎΡΙΑ,ΚΎΘΝΟΣ ΠΑΡΑΛΊΑ 32,2020-04-19,2020-05-06,high,canonical_high,multiple_special_numbers; multiple_regions,2,logistic_C1_unweighted,2.0588235294117645,1,0.8146732370265998
