index,model,rows_test_mean,rows_test_std,positive_rate_test_mean,positive_rate_test_std,top25_threshold_train_mean,top25_threshold_train_std,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_at_0_5_mean,f1_at_0_5_std,precision_at_0_5_mean,precision_at_0_5_std,recall_at_0_5_mean,recall_at_0_5_std,balanced_accuracy_at_0_5_mean,balanced_accuracy_at_0_5_std
9,logistic_C1_l2_unweighted,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.8095627737092543,0.018036358731979396,0.8885889377846793,0.023521978692657076,0.7422704929479123,0.021216427924625275,0.861967704403957,0.029362880938830035,0.6534222790956533,0.039951331724193496,0.8106038554418185,0.016991837319367455
6,logistic_C0.75_l2_unweighted,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.809122864902031,0.018565558189518917,0.8888033176973981,0.024002808193457195,0.7371610268743105,0.022679706458649238,0.8680730180324876,0.025149859515581987,0.6420817845856797,0.04068112342999746,0.8059699972275945,0.01779740472662642
8,logistic_C1_l2_balanced,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.809010711384522,0.013839495391991469,0.8881192143092319,0.022134723721895653,0.7248511614272695,0.023206326262635375,0.672791186234714,0.03483379990051805,0.7870366539821724,0.028000061513197165,0.8346770402078884,0.011280592618059518
7,logistic_C1.25_l2_unweighted,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.8088617664702905,0.01816886199029003,0.88829629008374,0.023489682069084382,0.7463687701250784,0.023642583379123366,0.8650799764617771,0.02871360074913422,0.6577971296813573,0.03998024148869586,0.8131446376251297,0.01766446182205148
10,logistic_C3_l2_balanced,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.8066629104054828,0.015108337800958712,0.8854230187420555,0.02307436553659758,0.725810306826322,0.017027599574772692,0.6723482804005207,0.030781705914327877,0.7900122307468956,0.025395479248538147,0.8358263874178198,0.00978368048261368
5,logistic_C0.2_l2_balanced,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.8034439657447473,0.016568797416168356,0.887510777543298,0.023227247900424276,0.7417492956508402,0.025423882008896222,0.7008338121087642,0.042020661101863394,0.789455035993653,0.02714009524347974,0.8429309353401105,0.011232039073069813
4,logistic_C0.2_l1_balanced,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.7993546601925396,0.013238231842982066,0.8899893215535633,0.0221728436937949,0.7430917752791449,0.017414796928512322,0.7123170830696326,0.029734141809289606,0.7788744288613216,0.040002150118826574,0.8411112386069635,0.014598667447945737
0,catboost_small_regularized,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.7878606497177845,0.021211889161264402,0.8927701477161151,0.017486879378679415,0.7119252813396882,0.024982280007004747,0.813998053746538,0.03630786138628676,0.6344051875445776,0.04066527927936244,0.7947532187922214,0.017313712593471316
3,lightgbm_small_regularized,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.7863800571601433,0.019840399847889576,0.8896664267089431,0.019642572154995902,0.7213033318421347,0.03227153061107022,0.7850343302055631,0.05167583587658409,0.6682646578903184,0.029527017168946682,0.8061631094672638,0.016298961340800493
12,xgboost_small_regularized,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.78480429959139,0.0253256680057381,0.8917135068426416,0.020952098539406192,0.7272159021655222,0.03880244239348892,0.7833136968716479,0.056994559348745276,0.6792632720584116,0.028833887303437004,0.8109707597023194,0.019280881698351387
2,hist_gradient_boosting_l2,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.7845101145349143,0.023613270758420297,0.8905908570907712,0.01845568634722276,0.7296227403808507,0.02952769309988524,0.7832605348673851,0.04822026513370614,0.684227822338731,0.03145826978227343,0.8130846210200919,0.015408648046807213
11,random_forest_depth4_leaf5,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.7146624250926205,0.03340948875616959,0.8754818982321575,0.01686713397192848,0.6737819625771768,0.04269797801813067,0.583687920240642,0.047115857560011784,0.7977083797913593,0.033913390310606986,0.8116804540975299,0.02210310747330103
1,extra_trees_depth4_leaf5,373.0,4.06201920231798,0.23483238064017714,0.015298888549094562,0.08356643945858648,0.0035548071224864664,0.6279384054090056,0.05669283786297319,0.8266382989296004,0.026899659056630176,0.6216334909108515,0.03793782518601922,0.5913111808459026,0.0624395285652096,0.6586380123778625,0.03055263169215569,0.7583109674463956,0.024925853128138595
