scope,split_id,task,model,rows_test,mae_raw_kg_per_day,rmse_raw_kg_per_day,rmse_log1p,r2_log1p,positive_rate_test,threshold,f1,precision,recall,balanced_accuracy,roc_auc,average_precision
strict,1,regression_log_rate,baseline_zero,129,1.4940649948257254,8.098062374449748,0.7131040380556902,-0.08525724255696354,,,,,,,,
strict,1,regression_log_rate,baseline_train_median,129,1.4940649948257254,8.098062374449748,0.7131040380556902,-0.08525724255696354,,,,,,,,
strict,1,regression_log_rate,ridge_log,129,1.9765314982833833,11.506513350963118,0.3859998460135857,0.6820190048015434,,,,,,,,
strict,1,regression_log_rate,random_forest_log,129,1.1456778579700313,6.2179618651953685,0.2830898189566367,0.8289687764120138,,,,,,,,
strict,1,regression_log_rate,extra_trees_log,129,1.212509992801516,6.795675157143675,0.3104544485222393,0.7943055016413841,,,,,,,,
strict,1,classification_positive_rate,baseline_all_negative,129,,,,,0.3798449612403101,,0.0,0.0,0.0,0.5,0.5,0.3798449612403101
strict,1,classification_positive_rate,logistic_balanced,129,,,,,0.3798449612403101,,0.7920792079207921,0.7692307692307693,0.8163265306122449,0.8331632653061225,0.914795918367347,0.8699798232354748
strict,1,classification_positive_rate,random_forest_balanced,129,,,,,0.3798449612403101,,0.8431372549019608,0.8113207547169812,0.8775510204081632,0.8762755102040816,0.9448979591836735,0.9199295809573825
strict,1,classification_positive_rate,extra_trees_balanced,129,,,,,0.3798449612403101,,0.8113207547169812,0.7543859649122807,0.8775510204081632,0.8512755102040817,0.9354591836734694,0.902717574981462
strict,1,classification_high_rate_top25_train_threshold,baseline_all_negative,129,,,,,0.2248062015503876,0.1122244488977955,0.0,0.0,0.0,0.5,0.5,0.2248062015503876
strict,1,classification_high_rate_top25_train_threshold,logistic_balanced,129,,,,,0.2248062015503876,0.1122244488977955,0.6229508196721312,0.59375,0.6551724137931034,0.7625862068965517,0.8565517241379311,0.7350574578313378
strict,1,classification_high_rate_top25_train_threshold,random_forest_balanced,129,,,,,0.2248062015503876,0.1122244488977955,0.7666666666666667,0.7419354838709677,0.7931034482758621,0.856551724137931,0.9286206896551724,0.8295196622707333
strict,1,classification_high_rate_top25_train_threshold,extra_trees_balanced,129,,,,,0.2248062015503876,0.1122244488977955,0.676056338028169,0.5714285714285714,0.8275862068965517,0.8237931034482758,0.9222413793103449,0.8241854103018985
strict,2,regression_log_rate,baseline_zero,129,0.7950177351476699,5.3229171113456415,0.5486959639608385,-0.11332607246353588,,,,,,,,
strict,2,regression_log_rate,baseline_train_median,129,0.7950177351476699,5.3229171113456415,0.5486959639608385,-0.11332607246353588,,,,,,,,
strict,2,regression_log_rate,ridge_log,129,8.026959106799415,82.99735933067143,0.5046642274608301,0.05818871248906987,,,,,,,,
strict,2,regression_log_rate,random_forest_log,129,0.5086341108893703,3.4300327345760535,0.20476900394503508,0.84494446139555,,,,,,,,
strict,2,regression_log_rate,extra_trees_log,129,0.5610449936133898,4.125232990011395,0.23494211902419926,0.7958823257069733,,,,,,,,
strict,2,classification_positive_rate,baseline_all_negative,129,,,,,0.43410852713178294,,0.0,0.0,0.0,0.5,0.5,0.43410852713178294
strict,2,classification_positive_rate,logistic_balanced,129,,,,,0.43410852713178294,,0.75,0.703125,0.8035714285714286,0.7716487279843445,0.8625244618395304,0.8123151274044795
strict,2,classification_positive_rate,random_forest_balanced,129,,,,,0.43410852713178294,,0.7678571428571429,0.7678571428571429,0.7678571428571429,0.7948874755381605,0.8994618395303327,0.8776986870342897
strict,2,classification_positive_rate,extra_trees_balanced,129,,,,,0.43410852713178294,,0.7678571428571429,0.7678571428571429,0.7678571428571429,0.7948874755381605,0.8916340508806262,0.8661734465159281
strict,2,classification_high_rate_top25_train_threshold,baseline_all_negative,129,,,,,0.3023255813953488,0.1035175879396985,0.0,0.0,0.0,0.5,0.5,0.3023255813953488
strict,2,classification_high_rate_top25_train_threshold,logistic_balanced,129,,,,,0.3023255813953488,0.1035175879396985,0.6746987951807228,0.6363636363636364,0.717948717948718,0.77008547008547,0.8603988603988604,0.7412482980986076
strict,2,classification_high_rate_top25_train_threshold,random_forest_balanced,129,,,,,0.3023255813953488,0.1035175879396985,0.6933333333333334,0.7222222222222222,0.6666666666666666,0.7777777777777777,0.872079772079772,0.7436770635609977
strict,2,classification_high_rate_top25_train_threshold,extra_trees_balanced,129,,,,,0.3023255813953488,0.1035175879396985,0.6835443037974683,0.675,0.6923076923076923,0.7739316239316238,0.8615384615384615,0.7599985008217905
strict,3,regression_log_rate,baseline_zero,130,1.1354656272922548,7.848159562825406,0.5873236544585104,-0.0645368542468665,,,,,,,,
strict,3,regression_log_rate,baseline_train_median,130,1.1354656272922548,7.848159562825406,0.5873236544585104,-0.0645368542468665,,,,,,,,
strict,3,regression_log_rate,ridge_log,130,0.8448849111582534,4.989622295334272,0.301772337346009,0.7189623082386246,,,,,,,,
strict,3,regression_log_rate,random_forest_log,130,0.8212007495712871,4.6988609375238,0.260191633398106,0.7910740568123702,,,,,,,,
strict,3,regression_log_rate,extra_trees_log,130,0.7803745064860756,4.916798602228341,0.2229128889013335,0.8466527200201246,,,,,,,,
strict,3,classification_positive_rate,baseline_all_negative,130,,,,,0.34615384615384615,,0.0,0.0,0.0,0.5,0.5,0.34615384615384615
strict,3,classification_positive_rate,logistic_balanced,130,,,,,0.34615384615384615,,0.6732673267326733,0.6071428571428571,0.7555555555555555,0.7483660130718954,0.8279738562091503,0.7174797938168903
strict,3,classification_positive_rate,random_forest_balanced,130,,,,,0.34615384615384615,,0.6862745098039216,0.6140350877192983,0.7777777777777778,0.7594771241830065,0.857516339869281,0.7892860035540583
strict,3,classification_positive_rate,extra_trees_balanced,130,,,,,0.34615384615384615,,0.6857142857142857,0.6,0.8,0.7588235294117647,0.8244444444444444,0.6672978607011261
strict,3,classification_high_rate_top25_train_threshold,baseline_all_negative,130,,,,,0.19230769230769232,0.12079159230616693,0.0,0.0,0.0,0.5,0.5,0.19230769230769232
strict,3,classification_high_rate_top25_train_threshold,logistic_balanced,130,,,,,0.19230769230769232,0.12079159230616693,0.5714285714285714,0.47368421052631576,0.72,0.7647619047619048,0.801142857142857,0.6252951235536245
strict,3,classification_high_rate_top25_train_threshold,random_forest_balanced,130,,,,,0.19230769230769232,0.12079159230616693,0.6666666666666666,0.6206896551724138,0.72,0.8076190476190477,0.8232380952380952,0.6153123247817381
strict,3,classification_high_rate_top25_train_threshold,extra_trees_balanced,130,,,,,0.19230769230769232,0.12079159230616693,0.6031746031746031,0.5,0.76,0.7895238095238095,0.811047619047619,0.5714838102000177
strict,4,regression_log_rate,baseline_zero,129,0.7129924841172454,4.144582441958348,0.5481528244357408,-0.0937841493059377,,,,,,,,
strict,4,regression_log_rate,baseline_train_median,129,0.7129924841172454,4.144582441958348,0.5481528244357408,-0.0937841493059377,,,,,,,,
strict,4,regression_log_rate,ridge_log,129,0.5587026501104664,3.383023747868761,0.28751116889570383,0.6990892149943497,,,,,,,,
strict,4,regression_log_rate,random_forest_log,129,0.37427039490352043,2.580251971130037,0.17965428858436783,0.882509300157468,,,,,,,,
strict,4,regression_log_rate,extra_trees_log,129,0.5245257186278,2.8696739198078354,0.26390653258074703,0.7464704449356246,,,,,,,,
strict,4,classification_positive_rate,baseline_all_negative,129,,,,,0.3875968992248062,,0.0,0.0,0.0,0.5,0.5,0.3875968992248062
strict,4,classification_positive_rate,logistic_balanced,129,,,,,0.3875968992248062,,0.7476635514018691,0.7017543859649122,0.8,0.7924050632911392,0.899493670886076,0.8603907055108145
strict,4,classification_positive_rate,random_forest_balanced,129,,,,,0.3875968992248062,,0.7647058823529411,0.75,0.78,0.8077215189873418,0.8868354430379748,0.821028100778508
strict,4,classification_positive_rate,extra_trees_balanced,129,,,,,0.3875968992248062,,0.7619047619047619,0.7272727272727273,0.8,0.8050632911392406,0.8844303797468354,0.8459442773977017
strict,4,classification_high_rate_top25_train_threshold,baseline_all_negative,129,,,,,0.24806201550387597,0.1104602510460251,0.0,0.0,0.0,0.5,0.5,0.24806201550387597
strict,4,classification_high_rate_top25_train_threshold,logistic_balanced,129,,,,,0.24806201550387597,0.1104602510460251,0.7123287671232876,0.6341463414634146,0.8125,0.8289304123711341,0.8656572164948453,0.7648813061896179
strict,4,classification_high_rate_top25_train_threshold,random_forest_balanced,129,,,,,0.24806201550387597,0.1104602510460251,0.6885245901639344,0.7241379310344828,0.65625,0.7868878865979381,0.8753221649484536,0.7196843992159482
strict,4,classification_high_rate_top25_train_threshold,extra_trees_balanced,129,,,,,0.24806201550387597,0.1104602510460251,0.6329113924050633,0.5319148936170213,0.78125,0.7772229381443299,0.8600193298969072,0.7131222806290334
strict,5,regression_log_rate,baseline_zero,130,0.8857964658911315,8.680317806117884,0.45970214724617803,-0.08210458119303565,,,,,,,,
strict,5,regression_log_rate,baseline_train_median,130,0.8857964658911315,8.680317806117884,0.45970214724617803,-0.08210458119303565,,,,,,,,
strict,5,regression_log_rate,ridge_log,130,0.6725422181410126,5.9198575666781785,0.22851107894265862,0.7326189078979459,,,,,,,,
strict,5,regression_log_rate,random_forest_log,130,0.8231042221340995,5.2951037653747735,0.2785205435715679,0.6027804279272995,,,,,,,,
strict,5,regression_log_rate,extra_trees_log,130,0.7528638222713431,5.298375110404941,0.2999833033480005,0.5392022632349811,,,,,,,,
strict,5,classification_positive_rate,baseline_all_negative,130,,,,,0.4230769230769231,,0.0,0.0,0.0,0.5,0.5,0.4230769230769231
strict,5,classification_positive_rate,logistic_balanced,130,,,,,0.4230769230769231,,0.7758620689655172,0.7377049180327869,0.8181818181818182,0.8024242424242425,0.8455757575757575,0.7983349363069742
strict,5,classification_positive_rate,random_forest_balanced,130,,,,,0.4230769230769231,,0.7704918032786885,0.7014925373134329,0.8545454545454545,0.793939393939394,0.8739393939393939,0.8381463430334909
strict,5,classification_positive_rate,extra_trees_balanced,130,,,,,0.4230769230769231,,0.7666666666666667,0.7076923076923077,0.8363636363636363,0.7915151515151515,0.8707878787878788,0.8226001044889656
strict,5,classification_high_rate_top25_train_threshold,baseline_all_negative,130,,,,,0.24615384615384617,0.1106957780617141,0.0,0.0,0.0,0.5,0.5,0.24615384615384617
strict,5,classification_high_rate_top25_train_threshold,logistic_balanced,130,,,,,0.24615384615384617,0.1106957780617141,0.6190476190476191,0.5,0.8125,0.7735969387755102,0.8380102040816326,0.6720584723598362
strict,5,classification_high_rate_top25_train_threshold,random_forest_balanced,130,,,,,0.24615384615384617,0.1106957780617141,0.6575342465753424,0.5853658536585366,0.75,0.7882653061224489,0.8574617346938775,0.7231333977272413
strict,5,classification_high_rate_top25_train_threshold,extra_trees_balanced,130,,,,,0.24615384615384617,0.1106957780617141,0.6206896551724138,0.4909090909090909,0.84375,0.7790178571428572,0.8303571428571428,0.6424722364708622
broad,1,regression_log_rate,baseline_zero,484,1.0482989790391262,4.288425910878752,0.7156364746154775,-0.21340880014614116,,,,,,,,
broad,1,regression_log_rate,baseline_train_median,484,1.0482989790391262,4.288425910878752,0.7156364746154775,-0.21340880014614116,,,,,,,,
broad,1,regression_log_rate,ridge_log,484,1.1115352264536433,3.9135628342267017,0.5770930617835558,0.21093294535687446,,,,,,,,
broad,1,regression_log_rate,random_forest_log,484,1.0281612201150507,3.6321734662254017,0.5134773426157496,0.3753096819329089,,,,,,,,
broad,1,regression_log_rate,extra_trees_log,484,1.0019878597489293,3.6786805363286477,0.5027309611404019,0.4011838978239666,,,,,,,,
broad,1,classification_positive_rate,baseline_all_negative,484,,,,,0.44834710743801653,,0.0,0.0,0.0,0.5,0.5,0.44834710743801653
broad,1,classification_positive_rate,logistic_balanced,484,,,,,0.44834710743801653,,0.651356993736952,0.5954198473282443,0.7188940092165899,0.6609451319491189,0.7142511952225616,0.6595502469682071
