index,scope,task,model,rows_test_mean,rows_test_std,mae_raw_kg_per_day_mean,mae_raw_kg_per_day_std,rmse_raw_kg_per_day_mean,rmse_raw_kg_per_day_std,rmse_log1p_mean,rmse_log1p_std,r2_log1p_mean,r2_log1p_std,positive_rate_test_mean,positive_rate_test_std,threshold_mean,threshold_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std
0,broad,classification_high_rate_top25_train_threshold,baseline_all_negative,478.0,4.636809247747852,,,,,,,,,0.24177011446335298,0.030162694791219018,0.3038254540940943,0.026664332145978062,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.24177011446335298,0.030162694791219018
1,broad,classification_high_rate_top25_train_threshold,extra_trees_balanced,478.0,4.636809247747852,,,,,,,,,0.24177011446335298,0.030162694791219018,0.3038254540940943,0.026664332145978062,0.6202490374632532,0.04140133543675169,0.5112136195964004,0.05169910781992855,0.7912691547913113,0.012150304329347297,0.7757013649222528,0.01041986503399334,0.8567213702682356,0.002934948154181786,0.6333474765950682,0.031010671775754704
2,broad,classification_high_rate_top25_train_threshold,logistic_balanced,478.0,4.636809247747852,,,,,,,,,0.24177011446335298,0.030162694791219018,0.3038254540940943,0.026664332145978062,0.6495193084599936,0.04114168494578868,0.5281985776071039,0.05345909412763821,0.8472628791460612,0.0239908875402166,0.8033797036922902,0.013731229622754353,0.8542805995863368,0.011732376778003928,0.6229652519297061,0.0737946528918056
3,broad,classification_high_rate_top25_train_threshold,random_forest_balanced,478.0,4.636809247747852,,,,,,,,,0.24177011446335298,0.030162694791219018,0.3038254540940943,0.026664332145978062,0.6416028679553927,0.028926272393465912,0.5706564791311222,0.03994404714669475,0.7339344574462583,0.016489209007557137,0.7790971220222391,0.007805158415055642,0.8742887079441057,0.005904507214824638,0.6583729797364593,0.027834983666545552
4,broad,classification_positive_rate,baseline_all_negative,478.0,4.636809247747852,,,,,,,,,0.4514292228744199,0.02147602042559918,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.4514292228744199,0.02147602042559918
5,broad,classification_positive_rate,extra_trees_balanced,478.0,4.636809247747852,,,,,,,,,0.4514292228744199,0.02147602042559918,,,0.69131260773887,0.010462488066304124,0.6260143868360113,0.02496170700046378,0.7734545896082515,0.027113216675369756,0.6965542600146882,0.0013850199745659177,0.7715752982143348,0.0071912897307546365,0.7259602134192441,0.009151329472472115
6,broad,classification_positive_rate,logistic_balanced,478.0,4.636809247747852,,,,,,,,,0.4514292228744199,0.02147602042559918,,,0.653895915376443,0.019293131437401346,0.5973305514276293,0.0256071147997362,0.7226289351155085,0.012035594069893771,0.6611193998470373,0.008005838989893285,0.7305598250558449,0.01170052662737703,0.6727627235971803,0.034582786549381316
7,broad,classification_positive_rate,random_forest_balanced,478.0,4.636809247747852,,,,,,,,,0.4514292228744199,0.02147602042559918,,,0.7073798429983347,0.0031520807053399148,0.664921506163912,0.01810762639953973,0.7568531887390711,0.026465415403718422,0.721171410576866,0.011042250384733264,0.8024937972484428,0.00887861695047505,0.7579087599284234,0.01365150644647895
8,broad,regression_log_rate,baseline_train_median,478.0,4.636809247747852,1.8423805383961418,0.6160860367717194,12.446364800095003,7.166295800724711,0.7978405568925901,0.05521614895932182,-0.20416190740841683,0.020266896994482954,,,,,,,,,,,,,,,,
9,broad,regression_log_rate,baseline_zero,478.0,4.636809247747852,1.8423805383961418,0.6160860367717194,12.446364800095003,7.166295800724711,0.7978405568925901,0.05521614895932182,-0.20416190740841683,0.020266896994482954,,,,,,,,,,,,,,,,
10,broad,regression_log_rate,extra_trees_log,478.0,4.636809247747852,1.6844693212155584,0.581977945966498,11.46729209062184,6.926874181489805,0.5139125137737224,0.04930606362248604,0.49638612201168364,0.08487978958460238,,,,,,,,,,,,,,,,
11,broad,regression_log_rate,random_forest_log,478.0,4.636809247747852,1.708699164085612,0.5819494603481065,11.565577722431602,7.073132294332561,0.5202974955045285,0.04513910134950284,0.48373610284259233,0.08300676975524778,,,,,,,,,,,,,,,,
12,broad,regression_log_rate,ridge_log,478.0,4.636809247747852,1.8733539184243468,0.6383056565979521,12.114071686806502,7.162152532298946,0.6010696681011471,0.036263994254197754,0.31346846519589855,0.06588755017994764,,,,,,,,,,,,,,,,
13,strict,classification_high_rate_top25_train_threshold,baseline_all_negative,129.4,0.5477225575051635,,,,,,,,,0.2427310673822302,0.04017293271548637,0.11153793165028003,0.0061704552679043055,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.2427310673822302,0.04017293271548637
14,strict,classification_high_rate_top25_train_threshold,extra_trees_balanced,129.4,0.5477225575051635,,,,,,,,,0.2427310673822302,0.04017293271548637,0.11153793165028003,0.0061704552679043055,0.6432752585155435,0.03507768856350441,0.5538505111909366,0.0747142190305592,0.7809787798408487,0.06003170592553478,0.7886978664381792,0.020468123508546595,0.8570407865300951,0.04215331064904929,0.7022524476847204,0.09873514761234707
15,strict,classification_high_rate_top25_train_threshold,logistic_balanced,129.4,0.5477225575051635,,,,,,,,,0.2427310673822302,0.04017293271548637,0.11153793165028003,0.0061704552679043055,0.6400909144904665,0.054468186235402734,0.5675888376706734,0.07620795666725551,0.7436242263483643,0.0680602735424138,0.7799921865781141,0.027698924991626767,0.8443521724512253,0.02630349619995826,0.7077081316066047,0.05745542273343121
16,strict,classification_high_rate_top25_train_threshold,random_forest_balanced,129.4,0.5477225575051635,,,,,,,,,0.2427310673822302,0.04017293271548637,0.11153793165028003,0.0061704552679043055,0.6945451006811887,0.04297163486515742,0.6788702291917247,0.07077046332098388,0.7172040229885057,0.05725716910794243,0.8034203484510286,0.03162716866368174,0.8713444913230741,0.038091605691245964,0.7262653695113317,0.07636804406126889
17,strict,classification_positive_rate,baseline_all_negative,129.4,0.5477225575051635,,,,,,,,,0.3941562313655337,0.03530105743033707,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.3941562313655337,0.03530105743033707
18,strict,classification_positive_rate,extra_trees_balanced,129.4,0.5477225575051635,,,,,,,,,0.3941562313655337,0.03530105743033707,,,0.7586927223719677,0.045424249013911525,0.7114416285468917,0.06654104738369203,0.8163543599257885,0.04192944263381358,0.8003129915616798,0.033346504072948674,0.8813511875066509,0.039977665171456574,0.8209466528170367,0.0907847909009105
19,strict,classification_positive_rate,logistic_balanced,129.4,0.5477225575051635,,,,,,,,,0.3941562313655337,0.03530105743033707,,,0.7477744310041704,0.0455743971502763,0.7037915860742652,0.06078234139545818,0.7987270665842094,0.02538255336269489,0.7896014624155488,0.031986628035120056,0.8700727329755722,0.036383885598563696,0.8117000772549267,0.06087645924719034
20,strict,classification_positive_rate,random_forest_balanced,129.4,0.5477225575051635,,,,,,,,,0.3941562313655337,0.03530105743033707,,,0.766493318638931,0.05552115155773562,0.7289411045213711,0.07533451802455678,0.8115462791177077,0.05062058621844841,0.8064602045703969,0.042935639082183764,0.8925301951121313,0.033145318510276536,0.8492177430715457,0.050794619348917866
21,strict,regression_log_rate,baseline_train_median,129.4,0.5477225575051635,1.0046674614548055,0.31613909896903114,6.8188078593394055,1.9717027564236942,0.5713957256313915,0.09201346615475492,-0.08780177995326785,0.017800756750912618,,,,,,,,,,,,,,,,
22,strict,regression_log_rate,baseline_zero,129.4,0.5477225575051635,1.0046674614548055,0.31613909896903114,6.8188078593394055,1.9717027564236942,0.5713957256313915,0.09201346615475492,-0.08780177995326785,0.017800756750912618,,,,,,,,,,,,,,,,
23,strict,regression_log_rate,extra_trees_log,129.4,0.5477225575051635,0.7662638067600248,0.27389158188541024,4.8011511559192375,1.4513960232163827,0.26643985847530394,0.03858616734607905,0.7445026511078175,0.12011135763871252,,,,,,,,,,,,,,,,
24,strict,regression_log_rate,random_forest_log,129.4,0.5477225575051635,0.7345774670936617,0.3021653923296739,4.444442254760006,1.452408152741481,0.24124505769114274,0.04643098092884924,0.7900554045409403,0.10971296232160381,,,,,,,,,,,,,,,,
25,strict,regression_log_rate,ridge_log,129.4,0.5477225575051635,2.4159240768985066,3.187224330776401,21.759275258303152,34.36937990590594,0.3416917317317575,0.10707730263517237,0.5781756296843067,0.29131750323581945,,,,,,,,,,,,,,,,
