index,model,family,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_at_0_5_mean,f1_at_0_5_std,precision_at_0_5_mean,precision_at_0_5_std,recall_at_0_5_mean,recall_at_0_5_std
22,logistic_C1_l2_unweighted_benchmark,logistic,0.8095627737092543,0.018036358731979396,0.8885889377846793,0.023521978692657076,0.7422704929479123,0.021216427924625275,0.861967704403957,0.029362880938830035,0.6534222790956533,0.039951331724193496
8,cat_depth3_lr0.07_n150_reg,catboost,0.790115632826075,0.011691005642455137,0.893688434076877,0.01573575335739203,0.6979461273028005,0.04276555481800381,0.6344383544383544,0.05825197330604684,0.7777204999197135,0.022281952646260428
6,cat_depth3_lr0.02_n350_reg,catboost,0.7893279211505457,0.01886844065184679,0.892340370412619,0.016377236061993972,0.6952702457566813,0.04341859286187373,0.6239053068587012,0.053583945304288325,0.7865485514290612,0.030107813114586438
14,lgbm_leaves3_lr0.04_n220_reg,lightgbm,0.7877314785672613,0.02281867246461713,0.8903976961098993,0.01897545359058842,0.6911721967411899,0.04861045302716644,0.6234011870595472,0.05896307840946326,0.7770704645041657,0.03584077507760743
4,cat_depth2_lr0.04_n220_reg,catboost,0.7876240560534115,0.020481584491390547,0.8926641285995943,0.017473741143361577,0.6904390565826307,0.04192870396523244,0.6135772748208046,0.05331171956950264,0.7911636852151415,0.028909299733748266
15,lgbm_leaves3_lr0.07_n150_reg,lightgbm,0.7869609281985281,0.021867897903582,0.8906584411893881,0.019012634965849345,0.6946596997940964,0.04561519400618374,0.6320200602317879,0.054252144583757704,0.7726260200597214,0.040278792610204416
7,cat_depth3_lr0.04_n220_reg,catboost,0.7867506994233608,0.015551173665923994,0.8921122067419264,0.016081902330826802,0.6979822755295446,0.04521463520538382,0.6283139001153826,0.05490630293281056,0.7866251797815516,0.03441732690578317
3,cat_depth2_lr0.02_n350_reg,catboost,0.7861038470152935,0.024528335374012007,0.8910746589932659,0.01849457007462345,0.691506115557854,0.03821384958240955,0.6136555144079916,0.04744941668003333,0.7934108762263774,0.02778070934238574
13,lgbm_leaves3_lr0.02_n350_reg,lightgbm,0.7858205270759849,0.026980493662046263,0.889093784596365,0.019442758492495486,0.6897137740652781,0.04771072152955521,0.6209003429306954,0.056581761900227734,0.7770704645041657,0.03584077507760743
5,cat_depth2_lr0.07_n150_reg,catboost,0.784897952831648,0.018093004622547496,0.8896514597502039,0.01615022062565492,0.6872371944920033,0.038557735595772184,0.6109401669226824,0.04989528607220358,0.7869849944186957,0.023504038985370276
16,lgbm_leaves5_lr0.02_n350_reg,lightgbm,0.7832387482866954,0.021595402677587222,0.8901210510908752,0.020762993398095002,0.7020621427833122,0.04456202941184433,0.6460269750142379,0.05414571284773855,0.7707456781793794,0.044167661934153765
