model,family,split_id,target_threshold_train,average_precision,roc_auc,f1_at_0_5,precision_at_0_5,recall_at_0_5
logistic_C1_l2_unweighted_benchmark,logistic,1,0.081999739786625,0.7995047324387062,0.8877274487030584,0.72,0.9,0.6
logistic_C1_l2_unweighted_benchmark,logistic,2,0.0816462571597866,0.8187397925001247,0.8581208972655149,0.7483870967741936,0.8787878787878788,0.651685393258427
logistic_C1_l2_unweighted_benchmark,logistic,3,0.08086093914398546,0.8053102769007756,0.9047064130516502,0.7393939393939394,0.8591549295774648,0.648936170212766
logistic_C1_l2_unweighted_benchmark,logistic,4,0.08965532467628037,0.7888422102149864,0.8748804867448935,0.7285714285714285,0.8225806451612904,0.6538461538461539
logistic_C1_l2_unweighted_benchmark,logistic,5,0.083669936526255,0.8354168564916786,0.9175094431582795,0.775,0.8493150684931506,0.7126436781609196
rf_depth3_leaf10_balanced,random_forest,1,0.081999739786625,0.6735852096504685,0.852555168408827,0.6160714285714286,0.5149253731343284,0.7666666666666667
rf_depth3_leaf10_balanced,random_forest,2,0.0816462571597866,0.7499902362276911,0.8806129434980468,0.6757990867579908,0.5692307692307692,0.8314606741573034
rf_depth3_leaf10_balanced,random_forest,3,0.08086093914398546,0.7250742092398835,0.8917562589279002,0.6812227074235808,0.5777777777777777,0.8297872340425532
rf_depth3_leaf10_balanced,random_forest,4,0.08965532467628037,0.6532081325490477,0.8452629291612342,0.5853658536585366,0.47244094488188976,0.7692307692307693
rf_depth3_leaf10_balanced,random_forest,5,0.083669936526255,0.7164355806785383,0.8770764794281305,0.6896551724137931,0.603448275862069,0.8045977011494253
rf_depth5_leaf8_balanced,random_forest,1,0.081999739786625,0.7098563043979634,0.8722802942315138,0.6698113207547169,0.5819672131147541,0.7888888888888889
rf_depth5_leaf8_balanced,random_forest,2,0.0816462571597866,0.735074096695812,0.8807941685795981,0.6790697674418604,0.5793650793650794,0.8202247191011236
rf_depth5_leaf8_balanced,random_forest,3,0.08086093914398546,0.7356350830177646,0.8981279603037365,0.6818181818181818,0.5952380952380952,0.7978723404255319
rf_depth5_leaf8_balanced,random_forest,4,0.08965532467628037,0.6678150594205192,0.8562146892655368,0.6010362694300518,0.5043478260869565,0.7435897435897436
rf_depth5_leaf8_balanced,random_forest,5,0.083669936526255,0.7329262029772634,0.8886722716380325,0.6893203883495146,0.5966386554621849,0.8160919540229885
extra_trees_depth3_leaf10_balanced,extra_trees,1,0.081999739786625,0.5558336633587596,0.7794812233836624,0.5615763546798029,0.504424778761062,0.6333333333333333
extra_trees_depth3_leaf10_balanced,extra_trees,2,0.0816462571597866,0.6424550642406845,0.8232652732471506,0.6470588235294118,0.6790123456790124,0.6179775280898876
