index,model,selected_fraction,selected_rows_mean,selected_rows_std,precision_in_selected_mean,precision_in_selected_std,recall_of_true_top25_mean,recall_of_true_top25_std,f1_selected_mean,f1_selected_std,baseline_positive_rate_test_mean,baseline_positive_rate_test_std
0,cat_depth1_lr0.02_n350_reg,0.1,37.6,0.5477225575051667,0.861877667140825,0.020823597490942043,0.3710956808814311,0.02338367253295038,0.5183325387997246,0.021342537666065014,0.23483238064017714,0.015298888549094562
1,cat_depth1_lr0.02_n350_reg,0.15,56.4,0.547722557505166,0.8297619047619047,0.02699839715679666,0.5357581396751436,0.03156215091919046,0.650601117952827,0.025460465057413235,0.23483238064017714,0.015298888549094562
2,cat_depth1_lr0.02_n350_reg,0.2,75.0,1.0000000000000004,0.7733048838311996,0.06265782401384364,0.6616610522472509,0.019057883539679816,0.7125444761863413,0.0364451900911137,0.23483238064017714,0.015298888549094562
3,cat_depth1_lr0.02_n350_reg,0.25,93.8,1.3038404810405295,0.690720250538315,0.06762295978240415,0.7383758717991697,0.026532689260587463,0.7131255496975657,0.04872898748775339,0.23483238064017714,0.015298888549094562
4,cat_depth1_lr0.02_n350_reg,0.3,112.4,1.516575088810311,0.6154880444354129,0.05352125532637427,0.7891126539931638,0.0273159169990787,0.6910240485348844,0.04324994230101809,0.23483238064017714,0.015298888549094562
5,cat_depth1_lr0.04_n220_reg,0.1,37.6,0.5477225575051667,0.8566145092460882,0.02884942942054723,0.3685315783173285,0.01812840131997766,0.5148842629376557,0.015069782112926975,0.23483238064017714,0.015298888549094562
6,cat_depth1_lr0.04_n220_reg,0.15,56.4,0.547722557505166,0.843859649122807,0.03244304392200678,0.5447481240469279,0.03199723643807274,0.6615667121525524,0.02684103108991292,0.23483238064017714,0.015298888549094562
7,cat_depth1_lr0.04_n220_reg,0.2,75.0,1.0000000000000004,0.7760426742532006,0.06355096501818225,0.6642930266846447,0.028680254313049856,0.7152294175052714,0.04048340245036219,0.23483238064017714,0.015298888549094562
8,cat_depth1_lr0.04_n220_reg,0.25,93.8,1.3038404810405295,0.6950208441637651,0.0558167674784978,0.7436752679276194,0.013534802479057516,0.7178825325940834,0.03602207082028063,0.23483238064017714,0.015298888549094562
9,cat_depth1_lr0.04_n220_reg,0.3,112.4,1.516575088810311,0.6190442322021269,0.053959316022262505,0.7936337267900987,0.02736416363718623,0.6950050348688119,0.04370340093074127,0.23483238064017714,0.015298888549094562
10,cat_depth1_lr0.07_n150_reg,0.1,37.6,0.5477225575051667,0.8566145092460882,0.02884942942054723,0.3685315783173285,0.01812840131997766,0.5148842629376557,0.015069782112926975,0.23483238064017714,0.015298888549094562
11,cat_depth1_lr0.07_n150_reg,0.15,56.4,0.547722557505166,0.8510025062656641,0.032657877402338276,0.5492941656328766,0.030613028340949984,0.6671225356394104,0.02552964531325147,0.23483238064017714,0.015298888549094562
12,cat_depth1_lr0.07_n150_reg,0.2,75.0,1.0000000000000004,0.7865689900426742,0.06500164666645933,0.6729498871937478,0.019385853666696665,0.724728363908528,0.03778592394502835,0.23483238064017714,0.015298888549094562
13,cat_depth1_lr0.07_n150_reg,0.25,93.8,1.3038404810405295,0.6929155810058703,0.05297883513202031,0.7415476083531514,0.009343624905858678,0.7157661304776812,0.03297064645359902,0.23483238064017714,0.015298888549094562
14,cat_depth1_lr0.07_n150_reg,0.3,112.4,1.516575088810311,0.6154406285985233,0.05061877967512408,0.7891822478519042,0.02326838102321788,0.6910225402392586,0.03992103857359395,0.23483238064017714,0.015298888549094562
15,cat_depth2_lr0.02_n350_reg,0.1,37.6,0.5477225575051667,0.8778093883357041,0.029610041733278487,0.3777873163371115,0.021712604304477485,0.5277571419743278,0.020214499307624267,0.23483238064017714,0.015298888549094562
16,cat_depth2_lr0.02_n350_reg,0.15,56.4,0.547722557505166,0.8510025062656641,0.02425326019106594,0.5493458251963532,0.02851925558706299,0.667161117746958,0.020655095150117684,0.23483238064017714,0.015298888549094562
17,cat_depth2_lr0.02_n350_reg,0.2,75.0,1.0000000000000004,0.7812697961119014,0.0574055481524793,0.6688652573864474,0.019848253533331358,0.7200956912131184,0.032345670649476604,0.23483238064017714,0.015298888549094562
18,cat_depth2_lr0.02_n350_reg,0.25,93.8,1.3038404810405295,0.6972176352671837,0.061257240673995975,0.7456572069494654,0.017568704515102312,0.719989118172338,0.04162804784783587,0.23483238064017714,0.015298888549094562
19,cat_depth2_lr0.02_n350_reg,0.3,112.4,1.516575088810311,0.6226004199688411,0.054828178147511404,0.7981547995870335,0.0287771203069266,0.6989860212027394,0.044820419541764675,0.23483238064017714,0.015298888549094562
20,cat_depth2_lr0.04_n220_reg,0.1,37.6,0.5477225575051667,0.8674253200568991,0.04829245375564786,0.3727357395613968,0.013938257762294237,0.5209613967018027,0.015490252653318293,0.23483238064017714,0.015298888549094562
21,cat_depth2_lr0.04_n220_reg,0.15,56.4,0.547722557505166,0.8333333333333334,0.032204995704950085,0.5382705826757694,0.03765955052993297,0.6535476104721452,0.03280714076799621,0.23483238064017714,0.015298888549094562
22,cat_depth2_lr0.04_n220_reg,0.2,75.0,1.0000000000000004,0.7838302513039356,0.0598161833174965,0.6708733855241477,0.016698264361287348,0.7223475858359982,0.03280582857633494,0.23483238064017714,0.015298888549094562
23,cat_depth2_lr0.04_n220_reg,0.25,93.8,1.3038404810405295,0.7014958324760605,0.05706310033137345,0.7505201600882806,0.013566324730785959,0.7245369217899091,0.03720162012647905,0.23483238064017714,0.015298888549094562
24,cat_depth2_lr0.04_n220_reg,0.3,112.4,1.516575088810311,0.6226165074849286,0.05959503414362295,0.7978895475976435,0.03545013433591593,0.6989009600650468,0.05059353338742314,0.23483238064017714,0.015298888549094562
25,cat_depth2_lr0.07_n150_reg,0.1,37.6,0.5477225575051667,0.8725462304409672,0.033745954713419575,0.3756596567626434,0.0252233635159842,0.5247268389440247,0.02578412385807693,0.23483238064017714,0.015298888549094562
26,cat_depth2_lr0.07_n150_reg,0.15,56.4,0.547722557505166,0.843984962406015,0.022996993418068597,0.5449959433996628,0.03194129370284661,0.6617910226890673,0.024484153547355926,0.23483238064017714,0.015298888549094562
27,cat_depth2_lr0.07_n150_reg,0.2,75.0,1.0000000000000004,0.7865680417259365,0.05467078516087777,0.6735570195250181,0.01929532297563904,0.7250630114745563,0.029727909558393384,0.23483238064017714,0.015298888549094562
28,cat_depth2_lr0.07_n150_reg,0.25,93.8,1.3038404810405295,0.6972853061602711,0.05452315149888445,0.7461702782915903,0.013084021501224754,0.7202583575113447,0.034953208436313034,0.23483238064017714,0.015298888549094562
29,cat_depth2_lr0.07_n150_reg,0.3,112.4,1.516575088810311,0.6190916480390165,0.052517494708285185,0.7938049177903432,0.02732852004980672,0.695102159965937,0.04249883572521569,0.23483238064017714,0.015298888549094562
30,cat_depth3_lr0.02_n350_reg,0.1,37.6,0.5477225575051667,0.8832147937411096,0.0351015728805599,0.3803763876902278,0.028258742844302367,0.5312550210109999,0.029421790122496277,0.23483238064017714,0.015298888549094562
31,cat_depth3_lr0.02_n350_reg,0.15,56.4,0.547722557505166,0.8474937343358396,0.026978213883550217,0.5472181656218851,0.03227806868992711,0.6645121111244414,0.025877848295448654,0.23483238064017714,0.015298888549094562
32,cat_depth3_lr0.02_n350_reg,0.2,75.0,1.0000000000000004,0.7839364627785681,0.04783483887661732,0.6714810195140266,0.013276245150724997,0.7227405546177138,0.022170026491139385,0.23483238064017714,0.015298888549094562
33,cat_depth3_lr0.02_n350_reg,0.25,93.8,1.3038404810405295,0.7036234920505285,0.05572542178572665,0.7529897000046291,0.016307344798977545,0.7268167431394978,0.03617114455217304,0.23483238064017714,0.015298888549094562
34,cat_depth3_lr0.02_n350_reg,0.3,112.4,1.516575088810311,0.6190442322021269,0.05140325038969608,0.7937282894378528,0.022968441863044867,0.6950427422594605,0.040619367771332855,0.23483238064017714,0.015298888549094562
35,cat_depth3_lr0.04_n220_reg,0.1,37.6,0.5477225575051667,0.8884779516358463,0.02110710533472,0.3825557068281725,0.024187388457963095,0.5343365273183126,0.022080833008145964,0.23483238064017714,0.015298888549094562
36,cat_depth3_lr0.04_n220_reg,0.15,56.4,0.547722557505166,0.843984962406015,0.02591649421377165,0.5454074176002837,0.04054252692972974,0.6620895584391354,0.03426177982178655,0.23483238064017714,0.015298888549094562
37,cat_depth3_lr0.04_n220_reg,0.2,75.0,1.0000000000000004,0.7838653390232337,0.04810166445505164,0.6713614880772588,0.009726483257737815,0.722639508064123,0.021098655159818586,0.23483238064017714,0.015298888549094562
38,cat_depth3_lr0.04_n220_reg,0.25,93.8,1.3038404810405295,0.6994358437946796,0.058266047975999165,0.7483745662185488,0.021185836589845863,0.722434819687807,0.039715766773305516,0.23483238064017714,0.015298888549094562
39,cat_depth3_lr0.04_n220_reg,0.3,112.4,1.516575088810311,0.6226165074849286,0.05959503414362295,0.7978895475976435,0.03545013433591593,0.6989009600650468,0.05059353338742314,0.23483238064017714,0.015298888549094562
40,cat_depth3_lr0.07_n150_reg,0.1,37.6,0.5477225575051667,0.8832147937411096,0.0351015728805599,0.3803763876902278,0.028258742844302367,0.5312550210109999,0.029421790122496277,0.23483238064017714,0.015298888549094562
41,cat_depth3_lr0.07_n150_reg,0.15,56.4,0.547722557505166,0.8402882205513784,0.022790572853509775,0.5425525925991687,0.03088149808089235,0.6588466735704449,0.022978680766221206,0.23483238064017714,0.015298888549094562
42,cat_depth3_lr0.07_n150_reg,0.2,75.0,1.0000000000000004,0.7758994784257942,0.04418041857673269,0.6648073183536101,0.01709888883508676,0.7154491536614924,0.020733971674716835,0.23483238064017714,0.015298888549094562
43,cat_depth3_lr0.07_n150_reg,0.25,93.8,1.3038404810405295,0.7015868787782173,0.05499733862061537,0.7508870092191747,0.018268683890970666,0.7247481236123148,0.035995500548581874,0.23483238064017714,0.015298888549094562
44,cat_depth3_lr0.07_n150_reg,0.3,112.4,1.516575088810311,0.619139063875906,0.053208888944319015,0.7938298865793569,0.028182356938290257,0.6951413756522116,0.04327748063686716,0.23483238064017714,0.015298888549094562
45,extra_trees_depth3_leaf10_balanced,0.1,37.6,0.5477225575051667,0.7237553342816501,0.05635991059742885,0.3111640783689388,0.023213101888793768,0.43483895445797555,0.029911782480311178,0.23483238064017714,0.015298888549094562
46,extra_trees_depth3_leaf10_balanced,0.15,56.4,0.547722557505166,0.7164160401002506,0.02655285421327508,0.46253560525498666,0.027908601538766644,0.5616970146013638,0.023333331613219484,0.23483238064017714,0.015298888549094562
47,extra_trees_depth3_leaf10_balanced,0.2,75.0,1.0000000000000004,0.6404485538169749,0.05212231496705433,0.5491897065008262,0.0418745043851769,0.5908102093436354,0.04266652102723455,0.23483238064017714,0.015298888549094562
48,extra_trees_depth3_leaf10_balanced,0.25,93.8,1.3038404810405295,0.5825319468286663,0.045901077281901674,0.6250600063313262,0.050847835177798145,0.6024943024557569,0.043989147546802415,0.23483238064017714,0.015298888549094562
49,extra_trees_depth3_leaf10_balanced,0.3,112.4,1.516575088810311,0.5287348438664228,0.046596228904171214,0.6790264666486154,0.050305738878320995,0.5940616019687226,0.04574117642494737,0.23483238064017714,0.015298888549094562
50,extra_trees_depth5_leaf8_balanced,0.1,37.6,0.5477225575051667,0.7398293029871977,0.05489998400251077,0.3177861199658788,0.017247453421407252,0.444218463837485,0.023400691252899265,0.23483238064017714,0.015298888549094562
51,extra_trees_depth5_leaf8_balanced,0.15,56.4,0.547722557505166,0.7163533834586466,0.01671388669504255,0.4625106364659729,0.025028274317790287,0.5616594823470827,0.017474260553614514,0.23483238064017714,0.015298888549094562
52,extra_trees_depth5_leaf8_balanced,0.2,75.0,1.0000000000000004,0.6509739212897108,0.03686535527289219,0.5584966024254772,0.03412008795429359,0.6006700163710386,0.029495897010919616,0.23483238064017714,0.015298888549094562
53,extra_trees_depth5_leaf8_balanced,0.25,93.8,1.3038404810405295,0.6038581989574515,0.05246788754471914,0.6473028303761896,0.048400065028922946,0.6242539509094822,0.04643990917481144,0.23483238064017714,0.015298888549094562
54,extra_trees_depth5_leaf8_balanced,0.3,112.4,1.516575088810311,0.5428800040642147,0.04019181336960266,0.6970314041811977,0.03560141375129922,0.6098848162501413,0.03512318297260528,0.23483238064017714,0.015298888549094562
55,histgb_leaf15_lr002_l2,0.1,37.6,0.5477225575051667,0.8778093883357041,0.02261690687266207,0.37827541889022265,0.02956852673670897,0.5282263180831034,0.02994254693357745,0.23483238064017714,0.015298888549094562
56,histgb_leaf15_lr002_l2,0.15,56.4,0.547722557505166,0.8367167919799499,0.04502316792038996,0.5393546669293329,0.01915544845346349,0.6554086910691581,0.02093580043408737,0.23483238064017714,0.015298888549094562
