scope,split_id,task,model,rows_test,mae_raw_kg_per_day,rmse_raw_kg_per_day,rmse_log1p,r2_log1p,positive_rate_test,threshold,f1,precision,recall,balanced_accuracy,roc_auc,average_precision
strict,1,regression_log_rate,baseline_zero,377,1.4675179894753583,13.61062546730166,0.6336252164064216,-0.08544796231262763,,,,,,,,
strict,1,regression_log_rate,baseline_train_median,377,1.4675179894753583,13.61062546730166,0.6336252164064216,-0.08544796231262763,,,,,,,,
strict,1,regression_log_rate,ridge_log,377,1.4283786758152162,13.098886318050088,0.422707430053045,0.5169146516775898,,,,,,,,
strict,1,regression_log_rate,random_forest_log,377,1.132106713049013,11.879810336075069,0.30739438822698584,0.7445323152259712,,,,,,,,
strict,1,regression_log_rate,extra_trees_log,377,1.2720393069685692,12.609751113845649,0.33499247345189115,0.6966009604976426,,,,,,,,
strict,1,classification_positive_rate,baseline_all_negative,377,,,,,0.33421750663129973,,0.0,0.0,0.0,0.5,0.5,0.33421750663129973
strict,1,classification_positive_rate,logistic_balanced,377,,,,,0.33421750663129973,,0.6821705426356589,0.6666666666666666,0.6984126984126984,0.7615569468159109,0.8398785809144376,0.7578353102074964
strict,1,classification_positive_rate,random_forest_balanced,377,,,,,0.33421750663129973,,0.6743295019157088,0.6518518518518519,0.6984126984126984,0.755580851198381,0.8424871940808196,0.7334720273884275
strict,1,classification_positive_rate,extra_trees_balanced,377,,,,,0.33421750663129973,,0.6111111111111112,0.5432098765432098,0.6984126984126984,0.7017959906406122,0.8010655789540253,0.6800317309138667
strict,1,classification_high_rate_top25_train_threshold,baseline_all_negative,377,,,,,0.23872679045092837,0.081999739786625,0.0,0.0,0.0,0.5,0.5,0.23872679045092837
strict,1,classification_high_rate_top25_train_threshold,logistic_balanced,377,,,,,0.23872679045092837,0.081999739786625,0.7526881720430108,0.7291666666666666,0.7777777777777778,0.8435927216415021,0.8967479674796749,0.779683221853223
strict,1,classification_high_rate_top25_train_threshold,random_forest_balanced,377,,,,,0.23872679045092837,0.081999739786625,0.6549707602339181,0.691358024691358,0.6222222222222222,0.76755710414247,0.8838753387533874,0.7296315126393157
strict,1,classification_high_rate_top25_train_threshold,extra_trees_balanced,377,,,,,0.23872679045092837,0.081999739786625,0.6010362694300518,0.5631067961165048,0.6444444444444445,0.7438250096786683,0.8305265195509097,0.6456275697647872
strict,2,regression_log_rate,baseline_zero,368,1.9162596612096576,14.563114239049668,0.7374720084695967,-0.10426544362080348,,,,,,,,
strict,2,regression_log_rate,baseline_train_median,368,1.9162596612096576,14.563114239049668,0.7374720084695967,-0.10426544362080348,,,,,,,,
strict,2,regression_log_rate,ridge_log,368,1.7992309465998273,14.013488047413409,0.48427811717627756,0.5238189694812408,,,,,,,,
strict,2,regression_log_rate,random_forest_log,368,1.4133085667206673,11.735312504124424,0.3691444800006062,0.723321662630978,,,,,,,,
strict,2,regression_log_rate,extra_trees_log,368,1.5979866630415451,13.296241271336429,0.3862191879612696,0.697134299139659,,,,,,,,
strict,2,classification_positive_rate,baseline_all_negative,368,,,,,0.3423913043478261,,0.0,0.0,0.0,0.5,0.5,0.3423913043478261
strict,2,classification_positive_rate,logistic_balanced,368,,,,,0.3423913043478261,,0.6926070038910506,0.6793893129770993,0.7063492063492064,0.766397743670471,0.8292994883903975,0.7714932151194442
strict,2,classification_positive_rate,random_forest_balanced,368,,,,,0.3423913043478261,,0.68,0.6854838709677419,0.6746031746031746,0.7567230749048931,0.8459759937032664,0.7498332769879746
strict,2,classification_positive_rate,extra_trees_balanced,368,,,,,0.3423913043478261,,0.6439393939393939,0.6159420289855072,0.6746031746031746,0.7277974550701823,0.8079168306441035,0.6941998683278583
strict,2,classification_high_rate_top25_train_threshold,baseline_all_negative,368,,,,,0.2418478260869565,0.0816462571597866,0.0,0.0,0.0,0.5,0.5,0.2418478260869565
strict,2,classification_high_rate_top25_train_threshold,logistic_balanced,368,,,,,0.2418478260869565,0.0816462571597866,0.7301587301587301,0.69,0.7752808988764045,0.8320848938826466,0.8644839112399824,0.8097419876436563
strict,2,classification_high_rate_top25_train_threshold,random_forest_balanced,368,,,,,0.2418478260869565,0.0816462571597866,0.6888888888888889,0.6813186813186813,0.6966292134831461,0.7963432805766986,0.8817405662276993,0.7367887620259365
strict,2,classification_high_rate_top25_train_threshold,extra_trees_balanced,368,,,,,0.2418478260869565,0.0816462571597866,0.6331658291457286,0.5727272727272728,0.7078651685393258,0.7697031935886594,0.856087149128106,0.7054812741973269
strict,3,regression_log_rate,baseline_zero,377,0.8520618293143671,5.0028649818299975,0.5885725478256516,-0.10438365036798625,,,,,,,,
strict,3,regression_log_rate,baseline_train_median,377,0.8520618293143671,5.0028649818299975,0.5885725478256516,-0.10438365036798625,,,,,,,,
strict,3,regression_log_rate,ridge_log,377,0.829930863843619,4.553068350333956,0.39015899580400315,0.5147079080099315,,,,,,,,
strict,3,regression_log_rate,random_forest_log,377,0.7045646426020795,4.163298111208384,0.25517309735816246,0.7924179792951158,,,,,,,,
strict,3,regression_log_rate,extra_trees_log,377,0.5899157956040926,3.51427095941417,0.25858510026698023,0.7868295710830192,,,,,,,,
