index,scope,task,model,rows_test_mean,rows_test_std,mae_raw_kg_per_day_mean,mae_raw_kg_per_day_std,rmse_raw_kg_per_day_mean,rmse_raw_kg_per_day_std,rmse_log1p_mean,rmse_log1p_std,r2_log1p_mean,r2_log1p_std,positive_rate_test_mean,positive_rate_test_std,threshold_mean,threshold_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std
0,broad,classification_high_rate_top25_train_threshold,baseline_all_negative,546.8,8.04363102087609,,,,,,,,,0.23569139695484015,0.02420233289648314,0.13830010711975566,0.009784829286169989,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.23569139695484015,0.02420233289648314
1,broad,classification_high_rate_top25_train_threshold,extra_trees_balanced,546.8,8.04363102087609,,,,,,,,,0.23569139695484015,0.02420233289648314,0.13830010711975566,0.009784829286169989,0.6496061214568509,0.019115951671100757,0.571755182324013,0.015358910465093308,0.752992303848076,0.03843141494015388,0.7891807285363038,0.019051496704015243,0.8516997994567829,0.01869636502037136,0.6521730003999651,0.014270345854877442
2,broad,classification_high_rate_top25_train_threshold,logistic_balanced,546.8,8.04363102087609,,,,,,,,,0.23569139695484015,0.02420233289648314,0.13830010711975566,0.009784829286169989,0.672593571382836,0.013672291459544215,0.5967189467635795,0.024726942603065336,0.7717177411294353,0.018731508886298664,0.8056441383958453,0.011910227378385865,0.8775504176497197,0.019582454644604747,0.7420175003665692,0.017834732203589998
3,broad,classification_high_rate_top25_train_threshold,random_forest_balanced,546.8,8.04363102087609,,,,,,,,,0.23569139695484015,0.02420233289648314,0.13830010711975566,0.009784829286169989,0.6677421235081238,0.026249159341759438,0.6162375098555171,0.033081875300670444,0.7292145927036482,0.022849941036350234,0.7949283442388412,0.011049977590598135,0.8738149883819869,0.013470035002077298,0.7049997496279431,0.01544483399882511
4,broad,classification_positive_rate,baseline_all_negative,546.8,8.04363102087609,,,,,,,,,0.36109647147315976,0.030275718595833244,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.36109647147315976,0.030275718595833244
5,broad,classification_positive_rate,extra_trees_balanced,546.8,8.04363102087609,,,,,,,,,0.36109647147315976,0.030275718595833244,,,0.6672328217881491,0.036274529469735785,0.6169151966925183,0.045918492594500634,0.7272724518171756,0.027243769280480994,0.7366074646197346,0.018652940554234176,0.813122836267339,0.011403428757825431,0.7111284330158731,0.03125250803281003
6,broad,classification_positive_rate,logistic_balanced,546.8,8.04363102087609,,,,,,,,,0.36109647147315976,0.030275718595833244,,,0.6936369620255145,0.0325860359522634,0.6656185532441313,0.04837223186385116,0.7251421332474844,0.020276398370445394,0.7602829375938085,0.017387248992543302,0.8323806814726804,0.01015952777666756,0.7568925464930617,0.029007516586443457
7,broad,classification_positive_rate,random_forest_balanced,546.8,8.04363102087609,,,,,,,,,0.36109647147315976,0.030275718595833244,,,0.7034928347352432,0.029697907056874157,0.6681113520246431,0.0371172292957584,0.743851718057617,0.03325303061110717,0.7680070974011558,0.014249723970184753,0.8411594191734423,0.008082888914857575,0.7525210007746732,0.030566187808438193
8,broad,regression_log_rate,baseline_train_median,546.8,8.04363102087609,1.8836007370941474,0.5544717921304513,16.933072946498303,5.81472438023411,0.7054853101238884,0.08536838226701739,-0.11562610754547076,0.011306817139759522,,,,,,,,,,,,,,,,
9,broad,regression_log_rate,baseline_zero,546.8,8.04363102087609,1.8836007370941474,0.5544717921304513,16.933072946498303,5.81472438023411,0.7054853101238884,0.08536838226701739,-0.11562610754547076,0.011306817139759522,,,,,,,,,,,,,,,,
