Days of Operations,Special Number,Date,Beaches,Total Weight,Recycle,Non-Recycle,Blue Net,Coordinates,Orientation,WindDirection,WindSpeed,Sediment,WidthLength,Coastline cleaned,Road Network,Tourist Business,Region,Duration
[133],694,2020-01-22,Σπέτσες Παραλία 8,41,8,33,0,"37°15'16.52""N, 023°06'56.86""E",South,N,3.0,Pebbles,7591,322,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.1
[134],695,2020-01-23,Σπέτσες Παραλία 9 ,14,3,11,0,"37°14'22.67""N, 023°07'54.01""E",South,N,3.0,Sand,2830,123,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.16666666666666666
[134],696,2020-01-23,Σπέτσες Παραλία 10,12,2,10,0,"37°14'27.49""N, 023°09'41.28""E",South,N,3.0,Sand,876,179,1,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.16666666666666666
[134],698,2020-01-23,Σπέτσες Παραλία 12 ,10,1,9,0,"37°15'09.34""N, 023°09'47.51""E",East,N,3.0,Pebbles,2207,105,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.16666666666666666
[134],699,2020-01-23,Σπέτσες Παραλία 13 ,9,1,8,0,"37°15'20.12""N, 023°09'58.56""E",East,N,3.0,Pebbles,263,41,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.16666666666666666
[135],700,2020-01-24,Σπέτσες Παραλία 14,9,1,8,0,"37°15'55.45""N, 023°09'29.84""E",North,NE,2.0,Mixed,1415,119,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.14285714285714285
[135],701,2020-01-24,Αργολίδα Παραλία 15 ,13,4,9,0,"37°17'43.17""N, 023°09'33.30""E",South,NE,2.0,Mixed,612,90,1,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.14285714285714285
[135],702,2020-01-24,Αργολίδα Παραλία 16,18,2,16,0,"37°17'43.23""N, 023°11'02.79""E",South,NE,2.0,Sand,1882,184,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.14285714285714285
[135],703,2020-01-24,Αργολίδα Παραλία 17,12,2,10,0,"37°17'37.58""N, 023°11'38.10""E",South,NE,2.0,Pebbles,792,105,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.14285714285714285
[135],704,2020-01-24,Αργολίδα Παραλία 18,3,0,3,0,"37°18'32.32""N, 023°11'42.28""E",East,NE,2.0,Mixed,2809,178,1,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.14285714285714285
[135],705,2020-01-24,Αργολίδα Παραλία 19 ,59,5,54,0,"37°19'52.34""N, 023°10'54.40""E",East,NE,2.0,Mixed,43367,2551,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.14285714285714285
[136],706,2020-01-25,Αργολίδα Παραλία 20 ,11,3,8,0,"37°20'45.78""N, 023°13'24.50""E",South,Calm,0.0,Mixed,3095,161,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.07692307692307693
[136],707,2020-01-25,Αργολίδα Παραλία 21,9,1,8,0,"37°20'44.29""N, 023°13'36.84""E",South,Calm,0.0,Pebbles,1149,93,1,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.07692307692307693
[136],708,2020-01-25,Αργολίδα Παραλία 22,49,9,40,0,"37°20'48.91""N, 023°13'48.36""E",South,Calm,0.0,Mixed,1524,100,1,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.07692307692307693
[136],710,2020-01-25,Αργολίδα Παραλία 24,16,2,14,0,"37°20'46.53""N, 023°14'41.20""E",South,Calm,0.0,Mixed,2821,191,1,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.07692307692307693
[136],712,2020-01-25,Αργολίδα Παραλία 26 ,12,3,9,0,"37°21'23.34""N, 023°14'45.75""E",East,Calm,0.0,Sand,7388,298,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.07692307692307693
[136],713,2020-01-25,Αργολίδα Παραλία 27,21,4,17,0,"37°22'36.08""N, 023°13'28.05""E",East,Calm,0.0,Mixed,1822,371,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.07692307692307693
[136],715,2020-01-25,Δοκός Παραλία 29 ,36,4,32,0,"37°20'37.45""N, 023°21'22.88""E",North,Calm,0.0,Pebbles,118,14,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.07692307692307693
[136],716,2020-01-25,Δοκός Παραλία 30 ,20,2,18,0,"37°20'39.02""N, 023°21'16.11""E",North,Calm,0.0,Pebbles,239,26,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.07692307692307693
[137],719,2020-01-26,Δοκός Παραλία 33 ,27,4,23,0,"37°20'25.38""N, 023°18'23.05""E",North,Calm,0.0,Pebbles,952,83,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.14285714285714285
[137],720,2020-01-26,Ύδρα Παραλία 34 ,26,1,25,0,"37°21'12.44""N, 023°29'07.05""E",North,Calm,0.0,Mixed,1039,60,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.14285714285714285
[137],721,2020-01-26,Ύδρα Παραλία 35,15,1,14,0,"37°20'47.30""N, 023°27'18.87""E",North,Calm,0.0,Mixed,302,43,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.14285714285714285
[137],722,2020-01-26,Ύδρα Παραλία 36 ,20,1,19,0,"37°20'39.09""N, 023°26'49.51""E",North,Calm,0.0,Pebbles,1674,71,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.14285714285714285
[138],723,2020-01-28,Ύδρα Παραλία 37,43,11,32,0,"37°19'40.54""N, 023°25'16.67""E",North,S,2.0,Pebbles,281,29,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.041666666666666664
[138],724,2020-01-28,Ύδρα Παραλία 38,133,20,113,0,"37°19'29.74""N, 023°24'51.99""E",North,S,2.0,Pebbles,3662,395,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.041666666666666664
[138],725,2020-01-28,Ύδρα Παραλία 39,116,12,104,0,"37°19'26.66""N, 023°24'24.48""E",North,S,2.0,Mixed,608,86,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.041666666666666664
[138],727,2020-01-28,Ύδρα Παραλία 41,49,8,41,0,"37°18'17.86""N, 023°22'38.99""E",West,S,2.0,Mixed,426,69,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.041666666666666664
[138],728,2020-01-28,Ύδρα Παραλία 42,100,10,90,0,"37°18'04.10""N, 023°23'43.60""E",South,S,2.0,Pebbles,3108,187,0,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.041666666666666664
[139],729,2020-01-29,Ύδρα Παραλία 43 ,11,2,9,0,"37°19'35.81""N, 023°29'55.78""E",East,SW,4.0,Mixed,2218,115,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.25
[139],730,2020-01-29,Ύδρα Παραλία 44 ,47,12,35,0,"37°20'32.10""N, 023°30'09.65""E",East,SW,4.0,Pebbles,1752,108,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.25
[140],731,2020-01-30,Μέθανα Παραλία 45,21,1,20,0,"37°29'03.50""N, 023°28'29.67""E",North,NW,2.0,Sand,2759,186,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.1
[140],732,2020-01-30,Μέθανα Παραλία 46 ,20,1,19,0,"37°30'30.99""N, 023°28'04.50""E",South,NW,2.0,Mixed,2401,245,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.1
[140],733,2020-01-30,Μέθανα Παραλία 47,7,1,6,0,"37°30'18.15""N, 023°28'59.66""E",South,NW,2.0,Sand,802,128,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.1
[140],734,2020-01-30,Μέθανα Παραλία 48,55,0,55,0,"37°31'51.66""N, 023°28'59.58""E",North,NW,2.0,Mixed,2448,166,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.1
[141],736,2020-01-31,Αγκίστρι Παραλία 50,23,3,20,0,"37°41'03.09""N, 023°19'23.93""E",West,W,2.0,Mixed,52,10,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05
[141],737,2020-01-31,Αγκίστρι Παραλία 51,27,2,25,0,"37°41'49.10""N, 023°19'55.12""E",West,W,2.0,Pebbles,1365,92,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05
[141],738,2020-01-31,Αγκίστρι Παραλία 52,25,2,23,0,"37°42'39.93""N, 023°21'02.23""E",North,W,2.0,Sand,1321,169,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05
[141],739,2020-01-31,Αγκίστρι Παραλία 53,30,3,27,0,"37°42'37.65""N, 023°21'51.69""E",North,W,2.0,Pebbles,3093,186,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05
[141],741,2020-01-31,Μετώπη Παραλία 55 ,460,145,315,0,"37°43'23.05""N, 023°23'04.56""E",South,W,2.0,Mixed,2665,176,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05
[142],742,2020-02-01,Αίγινα Παραλία 56,10,1,9,0,"37°44'55.44""N, 023°25'29.94""E",West,NW,4.0,Mixed,6079,193,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05555555555555555
[142],743,2020-02-01,Αίγινα Παραλία 57 ,37,5,32,0,"37°43'34.82""N, 023°26'27.89""E",West,NW,4.0,Sand,7190,505,1,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05555555555555555
[142],744,2020-02-01,Αίγινα Παραλία 58 ,52,4,48,0,"37°43'11.51""N, 023°27'30.99""E",West,NW,4.0,Mixed,2001,179,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05555555555555555
[142],745,2020-02-01,Αίγινα Παραλία 59,46,5,41,0,"37°41'55.70""N, 023°28'06.06""E",West,NW,4.0,Mixed,247,46,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05555555555555555
[142],746,2020-02-01,Αίγινα Παραλία 60 ,14,1,13,0,"37°41'24.36""N, 023°27'15.40""E",West,NW,4.0,Sand,2936,119,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05555555555555555
[142],747,2020-02-01,Αίγινα Παραλία 61 ,28,1,27,0,"37°41'06.73""N, 023°27'47.90""E",East,NW,4.0,Mixed,2218,144,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05555555555555555
[142],748,2020-02-01,Αίγινα Παραλία 62 ,15,0,15,0,"37°40'41.15""N, 023°28'41.80""E",East,NW,4.0,Sand,3323,125,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.05555555555555555
[143],749,2020-02-02,Αίγινα Παραλία 63 ,6,2,4,0,"37°42'33.90""N, 023°31'17.55""E",East,E,2.0,Pebbles,2930,279,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.041666666666666664
[143],750,2020-02-02,Αίγινα Παραλία 64 ,15,3,12,0,"37°44'26.33""N, 023°32'07.80""E",East,E,2.0,Sand,8642,408,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.041666666666666664
[143],751,2020-02-02,Αίγινα Παραλία 65 ,31,5,26,0,"37°46'15.32""N, 023°32'11.03""E",North,E,2.0,Mixed,2443,150,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.041666666666666664
[143],752,2020-02-02,Αίγινα Παραλία 66 ,27,2,25,0,"37°46'19.32""N, 023°29'30.28""E",North,E,2.0,Mixed,1860,63,1,1,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.041666666666666664
[143],753,2020-02-02,Νήσις Υψηλή Παραλία 67 ,12,8,4,0,"37°48'03.46""N, 023°20'08.79""E",North,E,2.0,Pebbles,135,25,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.041666666666666664
[144],754,2020-02-03,Άγιος Ιωάννης Αίγινα Παραλία 68 ,31,6,25,0,"37°49'10.58""N, 023°15'48.09""E",East,NE,3.0,Rocky,154,19,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.047619047619047616
[144],755,2020-02-03,Άγιος Θωμάς Παραλία 69 ,40,10,30,0,"37°48'27.17""N, 023°14'35.09""E",South,NE,3.0,Rocky,16251,5417,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.047619047619047616
[144],756,2020-02-03,Νησίς Λαγούσα Παραλία 70 ,36,2,34,0,"37°48'50.60""N, 023°28'12.98""E",North,NE,3.0,Rocky,11800,2360,0,0,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,0.047619047619047616
[145],757,2020-02-11,Εύβοια Παραλία 1,11,1,10,0,"37°57'42.11""N, 024°23'13.32""E",South,SW,3.0,Mixed,1547,123,0,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[145],760,2020-02-11,Εύβοια Παραλία 4 ,43,2,41,0,"37°59'42.07""N, 024°23'10.21""E",South,SW,3.0,Sand,6150,301,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[145],761,2020-02-11,Εύβοια Παραλία 5 ,62,3,59,0,"38°00'14.38""N, 024°23'29.61""E",South,SW,3.0,Sand,15744,492,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[145],762,2020-02-11,Εύβοια Παραλία 6 ,103,3,100,0,"38°00'34.36""N, 024°24'09.23""E",South,SW,3.0,Mixed,36163,1275,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[145],763,2020-02-11,Εύβοια Παραλία 7 ,16,1,15,0,"38°00'45.70""N, 024°25'36.88""E",South,SW,3.0,Mixed,3942,219,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[145],764,2020-02-11,Εύβοια Παραλία 8,17,1,16,0,"38°00'20.98""N, 024°26'40.01""E",South,SW,3.0,Mixed,9757,420,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[145],765,2020-02-11,Εύβοια Παραλία 9,21,1,20,0,"37°59'31.84""N, 024°27'49.74""E",South,SW,3.0,Pebbles,20486,460,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[145],766,2020-02-11,Εύβοια Παραλία 10 ,19,2,17,0,"37°58'47.53""N, 024°28'22.05""E",South,SW,3.0,Sand,2714,164,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[146],767,2020-02-12,Εύβοια Παραλία 11 ,5,0,5,0,"37°57'26.82""N, 024°31'10.55""E",South,SE,2.0,Sand,566,37,0,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.08333333333333333
[146],768,2020-02-12,Εύβοια Παραλία 12,11,1,10,0,"37°57'48.34""N, 024°31'35.81""E",South,SE,2.0,Mixed,930,93,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.08333333333333333
[146],769,2020-02-12,Εύβοια Παραλία 13,12,1,11,0,"37°57'56.20""N, 024°31'37.19""E",South,SE,2.0,Sand,2965,107,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.08333333333333333
[146],771,2020-02-12,Εύβοια Παραλία 15 ,7,1,6,0,"37°58'32.13""N, 024°32'17.26""E",South,SE,2.0,Mixed,3072,240,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.08333333333333333
[146],772,2020-02-12,Εύβοια Παραλία 16,5,0,5,0,"37°58'40.03""N, 024°32'45.20""E",South,SE,2.0,Sand,3415,200,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.08333333333333333
[146],774,2020-02-12,Εύβοια Παραλία 18 ,13,1,12,0,"37°59'14.61""N, 024°33'23.11""E",East,SE,2.0,Pebbles,19344,553,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.08333333333333333
[146],775,2020-02-12,Εύβοια Παραλία 19 ,26,0,26,0,"38°00'24.06""N, 024°34'00.15""E",East,SE,2.0,Sand,71569,790,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.08333333333333333
[146],776,2020-02-12,Εύβοια Παραλία 20 ,4,0,4,0,"38°01'32.42""N, 024°34'41.44""E",East,SE,2.0,Sand,8729,160,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.08333333333333333
[147],781,2020-02-14,Εύβοια Παραλία 25 ,13,1,12,0,"38°07'33.35""N, 024°34'55.95""E",East,E,3.0,Mixed,2931,87,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1111111111111111
[147],782,2020-02-14,Εύβοια Παραλία 26,79,6,73,0,"38°08'27.50""N, 024°28'47.89""E",North,E,3.0,Mixed,13605,273,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1111111111111111
[147],783,2020-02-14,Εύβοια Παραλία 27 ,49,7,42,0,"38°08'30.72""N, 024°26'52.37""E",North,E,3.0,Sand,6879,148,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1111111111111111
[147],784,2020-02-14,Εύβοια Παραλία 28 ,50,10,40,0,"38°09'29.95""N, 024°23'51.21""E",North,E,3.0,Pebbles,18452,317,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1111111111111111
[148],785,2020-02-18,Μεγαλονήσι Παραλία 29,100,2,98,0,"37°59'00.98""N, 024°15'05.01""E",South,NE,4.0,Mixed,5708,282,0,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1111111111111111
[148],786,2020-02-18,Μεγαλονήσι Παραλία 30 ,55,1,54,0,"37°59'28.86""N, 024°14'01.58""E",South,NE,4.0,Mixed,1380,206,0,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1111111111111111
[148],787,2020-02-18,Μεγαλονήσι Παραλία 31 ,13,3,10,0,"38°00'29.01""N, 024°16'46.69""E",East,NE,4.0,Mixed,1176,79,0,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1111111111111111
[148],788,2020-02-18,Μεγαλονήσι Παραλία 32 ,20,5,15,0,"38°00'38.49""N, 024°16'40.79""E",East,NE,4.0,Sand,1331,133,0,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1111111111111111
[148],790,2020-02-18,Εύβοια Παραλία 34 ,5,2,3,0,"38°02'01.22""N, 024°18'22.19""E",East,NE,4.0,Pebbles,10419,368,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1111111111111111
[148],791,2020-02-18,Εύβοια Παραλία 35 ,22,6,16,0,"38°03'43.36""N, 024°18'44.80""E",South,NE,4.0,Sand,3006,323,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1111111111111111
[148],792,2020-02-18,Εύβοια Παραλία 36 ,19,1,18,0,"38°04'58.33""N, 024°17'03.29""E",South,NE,4.0,Mixed,1752,128,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1111111111111111
[149],794,2020-02-19,Αττική Παραλία 38,33,3,30,0,"38°01'08.54""N, 024°00'43.31""E",East,N,3.0,Mixed,17979,341,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1
[149],796,2020-02-19,Αττική Παραλία 40 ,4,1,3,0,"38°02'49.34""N, 023°59'54.45""E",East,N,3.0,Mixed,234,41,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.1
[150],802,2020-02-20,Εύβοια Παραλία 46,6,1,5,0,"38°07'29.44""N, 024°12'41.52""E",East,N,3.0,Mixed,7618,472,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.07142857142857142
[150],804,2020-02-20,Εύβοια Παραλία 48,15,1,14,0,"38°11'19.22""N, 024°11'38.45""E",East,N,3.0,Mixed,5714,251,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.07142857142857142
[150],805,2020-02-20,Εύβοια Παραλία 49 ,34,2,32,0,"38°13'02.96""N, 024°10'57.60""E",East,N,3.0,Mixed,8847,580,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.07142857142857142
[150],806,2020-02-20,Εύβοια Παραλία 50 ,7,0,7,0,"38°16'03.70""N, 024°09'35.44""E",East,N,3.0,Sand,2830,283,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.07142857142857142
[150],807,2020-02-20,Εύβοια Παραλία 51 ,25,1,24,0,"38°16'53.05""N, 024°08'55.60""E",East,N,3.0,Sand,16684,1007,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.07142857142857142
[151],808,2020-02-23,Εύβοια Παραλία 52 ,25,2,23,0,"38°20'18.31""N, 024°03'19.70""E",East,N,3.0,Pebbles,367,88,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[151],810,2020-02-23,Εύβοια Παραλία 54 ,9,1,8,0,"38°23'23.13""N, 024°01'50.21""E",South,N,3.0,Mixed,994,82,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[151],811,2020-02-23,Εύβοια Παραλία 55,28,2,26,0,"38°23'38.99""N, 024°00'47.98""E",South,N,3.0,Mixed,7275,432,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[151],812,2020-02-23,Εύβοια Παραλία 56 ,33,3,30,0,"38°23'57.35""N, 024°00'22.33""E",South,N,3.0,Pebbles,3889,295,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[151],813,2020-02-23,Εύβοια Παραλία 57 ,25,2,23,0,"38°24'17.76""N, 023°59'51.37""E",South,N,3.0,Pebbles,1109,138,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.09090909090909091
[152],814,2020-02-24,Αττική Παραλία 58 ,34,3,31,0,"38°13'18.70""N, 024°01'48.76""E",North,SE,2.0,Mixed,616,87,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.07692307692307693
[152],815,2020-02-24,Αττική Παραλία 59 ,30,2,28,0,"38°14'01.30""N, 024°01'00.37""E",North,SE,2.0,Mixed,181,49,1,0,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.07692307692307693
[152],818,2020-02-24,Αττική Παραλία 62 ,38,4,34,0,"38°14'51.86""N, 023°59'46.18""E",North,SE,2.0,Pebbles,970,195,1,1,ΕΥΒΟΙΑ - ΣΤΕΡΕΑ,0.07692307692307693
