analysis_type,feature_set,detail,split_id,n_features,features,top25_threshold_train,positive_rate_test,average_precision,roc_auc,f1,precision,recall,balanced_accuracy
leave_one_out,minus_previous_visit_season,previous_visit_season,2,20,"previous_visit_month, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.0816462571597866,0.2418478260869565,0.807223254481096,0.8612621320124038,0.7046632124352331,0.6538461538461539,0.7640449438202247,0.8175063428778543
leave_one_out,minus_previous_visit_season,previous_visit_season,3,20,"previous_visit_month, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08086093914398546,0.2493368700265252,0.80186105291216,0.9069242914066611,0.7281553398058253,0.6696428571428571,0.7978723404255319,0.8335651454777836
leave_one_out,minus_previous_visit_season,previous_visit_season,4,20,"previous_visit_month, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08965532467628037,0.20911528150134048,0.785618095065485,0.8800086918730987,0.6740331491712708,0.5922330097087378,0.782051282051282,0.8198392003476749
leave_one_out,minus_previous_visit_season,previous_visit_season,5,20,"previous_visit_month, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.083669936526255,0.23513513513513515,0.8112061709131182,0.9119857032614435,0.7604166666666666,0.6952380952380952,0.8390804597701149,0.8630031274115593
leave_one_out,minus_latitude,latitude,1,20,"previous_visit_month, previous_visit_season, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.081999739786625,0.23872679045092837,0.7953727416997449,0.8982965543941154,0.7513227513227513,0.7171717171717171,0.7888888888888889,0.8456639566395664
leave_one_out,minus_latitude,latitude,2,20,"previous_visit_month, previous_visit_season, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.0816462571597866,0.2418478260869565,0.8107941217119038,0.8622689380210222,0.7083333333333334,0.6601941747572816,0.7640449438202247,0.8192984575731947
leave_one_out,minus_latitude,latitude,3,20,"previous_visit_month, previous_visit_season, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08086093914398546,0.2493368700265252,0.8013933164270794,0.9066987444553041,0.7414634146341463,0.6846846846846847,0.8085106382978723,0.8424178633185475
leave_one_out,minus_latitude,latitude,4,20,"previous_visit_month, previous_visit_season, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08965532467628037,0.20911528150134048,0.7859360375150902,0.8802259887005648,0.6739130434782609,0.5849056603773585,0.7948717948717948,0.8228596262494567
leave_one_out,minus_latitude,latitude,5,20,"previous_visit_month, previous_visit_season, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.083669936526255,0.23513513513513515,0.8120041397199212,0.912757402217619,0.7604166666666666,0.6952380952380952,0.8390804597701149,0.8630031274115593
leave_one_out,minus_longitude,longitude,1,20,"previous_visit_month, previous_visit_season, latitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.081999739786625,0.23872679045092837,0.7969132772985479,0.9014324428958576,0.7659574468085106,0.7346938775510204,0.8,0.8547038327526133
leave_one_out,minus_longitude,longitude,2,20,"previous_visit_month, previous_visit_season, latitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.0816462571597866,0.2418478260869565,0.8110725371203666,0.8624300269824011,0.7120418848167539,0.6666666666666666,0.7640449438202247,0.8210905722685353
leave_one_out,minus_longitude,longitude,3,20,"previous_visit_month, previous_visit_season, latitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08086093914398546,0.2493368700265252,0.8012405062740456,0.9065859709796255,0.7352941176470589,0.6818181818181818,0.7978723404255319,0.8370987143823773
