scope,split_id,feature_set,model,n_features,rows_test,top25_threshold_train,positive_rate_test,average_precision,roc_auc,f1,precision,recall,balanced_accuracy
strict,1,base_11,baseline_all_negative,11,377,0.081999739786625,0.23872679045092837,0.23872679045092837,0.5,0.0,0.0,0.0,0.5
strict,1,base_11,logistic_balanced,11,377,0.081999739786625,0.23872679045092837,0.5163083857880725,0.7422377080913667,0.5560538116591929,0.46616541353383456,0.6888888888888889,0.7207510646535037
strict,1,base_11,random_forest_balanced,11,377,0.081999739786625,0.23872679045092837,0.608576529481039,0.7817266744096012,0.5405405405405406,0.5263157894736842,0.5555555555555556,0.6993805652342238
strict,1,base_11,extra_trees_balanced,11,377,0.081999739786625,0.23872679045092837,0.5909707478882618,0.7721254355400697,0.48484848484848486,0.4444444444444444,0.5333333333333333,0.662137049941928
strict,2,base_11,baseline_all_negative,11,368,0.0816462571597866,0.2418478260869565,0.2418478260869565,0.5,0.0,0.0,0.0,0.5
strict,2,base_11,logistic_balanced,11,368,0.0816462571597866,0.2418478260869565,0.5093032737047438,0.7358946478192582,0.5070422535211268,0.43548387096774194,0.6067415730337079,0.6779227578430188
strict,2,base_11,random_forest_balanced,11,368,0.0816462571597866,0.2418478260869565,0.6225808116970694,0.8100157061737344,0.5806451612903226,0.5567010309278351,0.6067415730337079,0.7263098546172124
strict,2,base_11,extra_trees_balanced,11,368,0.0816462571597866,0.2418478260869565,0.6096795680858017,0.8037131005597841,0.5714285714285714,0.5087719298245614,0.651685393258427,0.7254842736901455
strict,3,base_11,baseline_all_negative,11,377,0.08086093914398546,0.2493368700265252,0.2493368700265252,0.5,0.0,0.0,0.0,0.5
strict,3,base_11,logistic_balanced,11,377,0.08086093914398546,0.2493368700265252,0.5535982243213573,0.7873844071874295,0.5363636363636364,0.46825396825396826,0.6276595744680851,0.6954552289301557
strict,3,base_11,random_forest_balanced,11,377,0.08086093914398546,0.2493368700265252,0.6003368951038607,0.8074392902789265,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.7307345312382527
strict,3,base_11,extra_trees_balanced,11,377,0.08086093914398546,0.2493368700265252,0.5739898888908956,0.7929478986542364,0.5296803652968036,0.464,0.6170212765957447,0.6901360799939854
strict,4,base_11,baseline_all_negative,11,373,0.08965532467628037,0.20911528150134048,0.20911528150134048,0.5,0.0,0.0,0.0,0.5
strict,4,base_11,logistic_balanced,11,373,0.08965532467628037,0.20911528150134048,0.5242594919423038,0.788483268144285,0.5142857142857142,0.4090909090909091,0.6923076923076923,0.7139504563233376
strict,4,base_11,random_forest_balanced,11,373,0.08965532467628037,0.20911528150134048,0.5851565387001152,0.8230551933941765,0.573170731707317,0.5465116279069767,0.6025641025641025,0.735180356366797
strict,4,base_11,extra_trees_balanced,11,373,0.08965532467628037,0.20911528150134048,0.5754527131307632,0.8033246414602347,0.49746192893401014,0.4117647058823529,0.6282051282051282,0.6954584963059539
strict,5,base_11,baseline_all_negative,11,370,0.083669936526255,0.23513513513513515,0.23513513513513515,0.5,0.0,0.0,0.0,0.5
strict,5,base_11,logistic_balanced,11,370,0.083669936526255,0.23513513513513515,0.5376817129955933,0.7791722513301653,0.5169491525423728,0.40939597315436244,0.7011494252873564,0.6950976808415581
strict,5,base_11,random_forest_balanced,11,370,0.083669936526255,0.23513513513513515,0.6383516890386163,0.8316274724828399,0.5951219512195122,0.5169491525423728,0.7011494252873564,0.7498679988627595
strict,5,base_11,extra_trees_balanced,11,370,0.083669936526255,0.23513513513513515,0.6343263581866408,0.8138174728889972,0.5560538116591929,0.45588235294117646,0.7126436781609196,0.7255797896104952
strict,1,base_11_plus_demographics,baseline_all_negative,17,377,0.081999739786625,0.23872679045092837,0.23872679045092837,0.5,0.0,0.0,0.0,0.5
