index,scope,feature_set,model,n_features,rows_test_mean,rows_test_std,top25_threshold_train_mean,top25_threshold_train_std,positive_rate_test_mean,positive_rate_test_std,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,balanced_accuracy_mean,balanced_accuracy_std
0,broad,base_11,baseline_all_negative,11,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.23569139695484015,0.02420233289648314,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1,broad,base_11,extra_trees_balanced,11,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.5474107901752143,0.0218738803254202,0.7981619050679079,0.017068471920762402,0.555219913017788,0.027751863954711006,0.48033270178097764,0.025597115899814168,0.6588689655172414,0.04309321380412192,0.7199401653794004,0.020589254373195868
2,broad,base_11,logistic_balanced,11,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.5056215335230037,0.06021834151089205,0.770100167609335,0.02477995150296288,0.5431836054235007,0.039901862289662804,0.4512467532528648,0.03794830827940054,0.6847132433783109,0.060870440280955576,0.7145568967342031,0.03174888870632677
3,broad,base_11,random_forest_balanced,11,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.5510112934608905,0.028233892519857823,0.8029697293154385,0.01896793288167839,0.5613332156767813,0.02238762150034628,0.5073318151007534,0.015359627891088499,0.6287730134932533,0.036847947136157355,0.7201454402220471,0.010315251373863693
4,broad,base_11_plus_all_repollution_specific,baseline_all_negative,15,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.23569139695484015,0.02420233289648314,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
5,broad,base_11_plus_all_repollution_specific,extra_trees_balanced,15,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.6446345702038463,0.015955918460208753,0.8507472302550783,0.017091064450865483,0.6423977879498407,0.017224309127138446,0.5660620964913115,0.018188868098182723,0.743392303848076,0.031108831200825818,0.7836777094796977,0.019885428321719013
6,broad,base_11_plus_all_repollution_specific,logistic_balanced,15,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.7371739357691183,0.01972811971791095,0.8721752833516134,0.021932568764535178,0.6789812723588177,0.021274891144172567,0.6009615822562621,0.027422860566524352,0.7810954522738631,0.0230851274884516,0.810817550995685,0.01715728668776832
7,broad,base_11_plus_all_repollution_specific,random_forest_balanced,15,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.7101529031980484,0.01930452769724212,0.8743208417318058,0.01265285647134275,0.666897138482452,0.024870299558819108,0.6030629728512796,0.03495981156562714,0.7466188905547226,0.01264837648778948,0.7978870206418701,0.007460349196904282
8,broad,base_11_plus_demographics,baseline_all_negative,17,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.23569139695484015,0.02420233289648314,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
9,broad,base_11_plus_demographics,extra_trees_balanced,17,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.560208890741166,0.027222944124192402,0.8056034189420878,0.018843382870602603,0.572291292399551,0.03104110889776029,0.49373959150564134,0.023985146758068166,0.6817771114442779,0.052885922039989056,0.7335538724567665,0.024105073592580555
10,broad,base_11_plus_demographics,logistic_balanced,17,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.5233831400830515,0.060420756306328115,0.7819098160861037,0.0280204647148909,0.5474162172726781,0.03817768068362228,0.4556067553052042,0.0351638654962122,0.6870702648675662,0.054236418831584386,0.7173727610545458,0.029968595550206138
11,broad,base_11_plus_demographics,random_forest_balanced,17,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.5642239781451037,0.03687252071808465,0.8073370372036361,0.023321522051320764,0.5676267343075393,0.034244121038918586,0.5233926173094036,0.029441960541880655,0.6209749125437282,0.04861401456943087,0.7235418452430276,0.023630350395734464
12,broad,base_11_plus_repollution_core,baseline_all_negative,13,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.23569139695484015,0.02420233289648314,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
13,broad,base_11_plus_repollution_core,extra_trees_balanced,13,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.637988379071061,0.01762272663609162,0.8484154487454425,0.01800605537126503,0.6389769135055152,0.017868135533747612,0.5658007719750344,0.016674444205264503,0.7353029485257372,0.04075310020623937,0.7806599832707997,0.018834084781678646
14,broad,base_11_plus_repollution_core,logistic_balanced,13,546.8,8.04363102087609,0.13830010711975566,0.009784829286169989,0.23569139695484015,0.02420233289648314,0.7407746305318248,0.021654649821556616,0.872946039697629,0.022785582286264577,0.6802930954412484,0.02856472101348483,0.6040008695434961,0.03299175376565052,0.779735532233883,0.03492417955454162,0.8113511261281806,0.022620780037890465
