site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,site_confidence,match_quality,site_review_reason,repollution_kg_per_day,previous_total_weight,days_between_visits,repollution_risk_score,actual_top25_training_label,priority_rank,priority_percentile,priority_band
4378,4378,ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΕΣΣΗΝΊΑ ΠΑΡΑΛΊΑ 147,2023-05-06,2023-05-06,2024-06-23,2024-06-23,high,canonical_high,multiple_special_numbers; multiple_regions,0.0,0.0,414,0.07767002716172162,0,898,0.5990660440293529,below_top_30_percent
3958,3958,ΜΗΛΟΣ - ΑΝΤΙΜΗΛΟΣ - ΠΟΛΥΑΙΓΟΣ,ΠΑΡΑΛΊΑ ΠΆΝΩ ΜΕΡΣΊΝΙ,ΠΟΛΎΑΙΓΟΣ ΠΑΡΑΛΊΑ 102,2023-01-01,2023-01-01,2024-05-06,2024-05-06,high,canonical_high,multiple_special_numbers; multiple_regions,0.0,0.0,491,0.07761846141880627,0,899,0.5997331554369579,below_top_30_percent
1071,1071,ΚΕΑ 2η ΦΟΡΑ,,ΚΈΑ ΠΑΡΑΛΊΑ 10,2020-05-10,2020-05-10,2024-04-21,2024-04-21,high,canonical_high,multiple_regions,0.0,10.0,1442,0.077522062243455,0,900,0.600400266844563,below_top_30_percent
1844,1844,ΛΗΜΝΟΣ,ΠΑΡΑΛΊΑ ΚΑΡΒΟΥΝΌΛΑΚΑΣ,ΛΉΜΝΟΣ ΠΑΡΑΛΊΑ 161,2021-05-25,2021-05-25,2025-03-22,2025-03-22,high,canonical_high,ok,0.0093056549749463,47.0,1397,0.07674002303862551,0,901,0.6010673782521682,below_top_30_percent
3090,3090,ΚΑΛΑΜΟΣ,,ΚΆΛΑΜΟΣ ΠΑΡΑΛΊΑ 29,2022-07-18,2022-07-18,2024-08-20,2024-08-20,high,canonical_high,multiple_special_numbers,0.0,0.0,764,0.07669466179257567,0,902,0.6017344896597732,below_top_30_percent
3091,3091,ΚΑΛΑΜΟΣ,,ΚΆΛΑΜΟΣ ΠΑΡΑΛΊΑ 30,2022-07-18,2022-07-18,2024-08-20,2024-08-20,high,canonical_high,multiple_special_numbers,0.0,0.0,764,0.07667482743618452,0,903,0.6024016010673783,below_top_30_percent
3092,3092,ΚΑΛΑΜΟΣ,,ΚΆΛΑΜΟΣ ΠΑΡΑΛΊΑ 31,2022-07-18,2022-07-18,2024-08-20,2024-08-20,high,canonical_high,multiple_special_numbers,0.0,0.0,764,0.0766361767462907,0,904,0.6030687124749833,below_top_30_percent
958,958,ΚΕΑ,,ΚΈΑ ΠΑΡΑΛΊΑ 2,2021-03-19,2021-03-19,2024-04-21,2024-04-21,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.0,60.0,1129,0.07583296812627903,0,905,0.6037358238825884,below_top_30_percent
66,66,ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ,ΠΑΡΑΛΊΑ ΠΟΡΊ,ΆΝΩ ΚΟΥΦΟΝΉΣΙ ΠΑΡΑΛΊΑ 6,2019-09-25,2019-09-25,2024-05-30,2024-05-30,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.1462843768285547,19.0,1709,0.07572028889280932,1,906,0.6044029352901935,below_top_30_percent
1732,1732,ΣΑΜΟΘΡΑΚΗ,ΠΑΡΑΛΊΑ ΒΑΤΌΣ,ΣΑΜΟΘΡΆΚΗ ΠΑΡΑΛΊΑ 10,2021-07-14,2021-07-14,2025-05-03,2025-05-03,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0129589632829373,0.0,1389,0.07517242902996792,0,907,0.6050700466977985,below_top_30_percent
