index,model,rows_test_mean,rows_test_std,positive_rate_test_mean,positive_rate_test_std,top25_threshold_train_mean,top25_threshold_train_std,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_at_0_5_mean,f1_at_0_5_std,precision_at_0_5_mean,precision_at_0_5_std,recall_at_0_5_mean,recall_at_0_5_std,balanced_accuracy_at_0_5_mean,balanced_accuracy_at_0_5_std
9,logistic_C1_l2_unweighted,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.8095627737092543,0.0180363587319793,0.8885889377846793,0.023521978692657,0.7422704929479123,0.0212164279246252,0.861967704403957,0.02936288093883,0.6534222790956533,0.0399513317241934,0.8106038554418185,0.0169918373193674
6,logistic_C0.75_l2_unweighted,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.809122864902031,0.0185655581895189,0.8888033176973981,0.0240028081934571,0.7371610268743105,0.0226797064586492,0.8680730180324876,0.0251498595155819,0.6420817845856797,0.0406811234299974,0.8059699972275945,0.0177974047266264
8,logistic_C1_l2_balanced,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.809010711384522,0.0138394953919914,0.8881192143092319,0.0221347237218956,0.7248511614272695,0.0232063262626353,0.672791186234714,0.034833799900518,0.7870366539821724,0.0280000615131971,0.8346770402078884,0.0112805926180595
7,logistic_C1.25_l2_unweighted,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.8088617664702905,0.01816886199029,0.88829629008374,0.0234896820690843,0.7463687701250784,0.0236425833791233,0.8650799764617771,0.0287136007491342,0.6577971296813573,0.0399802414886958,0.8131446376251297,0.0176644618220514
10,logistic_C3_l2_balanced,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.8066629104054828,0.0151083378009587,0.8854230187420555,0.0230743655365975,0.725810306826322,0.0170275995747726,0.6723482804005207,0.0307817059143278,0.7900122307468956,0.0253954792485381,0.8358263874178198,0.0097836804826136
5,logistic_C0.2_l2_balanced,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.8034439657447473,0.0165687974161683,0.887510777543298,0.0232272479004242,0.7417492956508402,0.0254238820088962,0.7008338121087642,0.0420206611018633,0.789455035993653,0.0271400952434797,0.8429309353401105,0.0112320390730698
4,logistic_C0.2_l1_balanced,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.7993546601925396,0.013238231842982,0.8899893215535633,0.0221728436937949,0.7430917752791449,0.0174147969285123,0.7123170830696326,0.0297341418092896,0.7788744288613216,0.0400021501188265,0.8411112386069635,0.0145986674479457
0,catboost_small_regularized,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.7878606497177845,0.0212118891612644,0.8927701477161151,0.0174868793786794,0.7119252813396882,0.0249822800070047,0.813998053746538,0.0363078613862867,0.6344051875445776,0.0406652792793624,0.7947532187922214,0.0173137125934713
3,lightgbm_small_regularized,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.7863800571601433,0.0198403998478895,0.8896664267089431,0.0196425721549959,0.7213033318421347,0.0322715306110702,0.7850343302055631,0.051675835876584,0.6682646578903184,0.0295270171689466,0.8061631094672638,0.0162989613408004
12,xgboost_small_regularized,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.78480429959139,0.0253256680057381,0.8917135068426416,0.0209520985394061,0.7272159021655222,0.0388024423934889,0.7833136968716479,0.0569945593487452,0.6792632720584116,0.028833887303437,0.8109707597023194,0.0192808816983513
2,hist_gradient_boosting_l2,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.7845101145349143,0.0236132707584202,0.8905908570907712,0.0184556863472227,0.7296227403808507,0.0295276930998852,0.7832605348673851,0.0482202651337061,0.684227822338731,0.0314582697822734,0.8130846210200919,0.0154086480468072
11,random_forest_depth4_leaf5,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.7146624250926205,0.0334094887561695,0.8754818982321575,0.0168671339719284,0.6737819625771768,0.0426979780181306,0.583687920240642,0.0471158575600117,0.7977083797913593,0.0339133903106069,0.8116804540975299,0.022103107473301
1,extra_trees_depth4_leaf5,373.0,4.06201920231798,0.2348323806401771,0.0152988885490945,0.0835664394585864,0.0035548071224864,0.6279384054090056,0.0566928378629731,0.8266382989296004,0.0268996590566301,0.6216334909108515,0.0379378251860192,0.5913111808459026,0.0624395285652096,0.6586380123778625,0.0305526316921556,0.7583109674463956,0.0249258531281385
