row_id,site_id,canonical_site_id,previous_visit_start_date,region,latitude,longitude,tourism_nuts2_id,tourism_nuts2_name,tourism_assignment_method,tourism_source_year,yacht_coord_method,TourismArrivals_YoY_Pct_NUTS2,AvgStay_NightsPerArrival_NUTS2,YachtPressureIndex_10km,TourismNights_NUTS2,Accommodation_Establishments_NUTS2
25,11,11,2023-06-05,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,37.33474066666667,23.334379666666667,EL30,Attiki,polygon,2023,original,19.7257436295224,2.2259160990785376,0.07002817496043395,12409598,1186.0
26,12,12,2019-08-21,ΔΟΚΟΣ,37.345981,23.320642,EL30,Attiki,polygon,2019,original,1.767848375831771,2.142942024716585,0.08276057040778557,11007331,1435.0
27,12,12,2023-06-08,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,37.3455278,23.3192164,EL30,Attiki,polygon,2023,original,19.7257436295224,2.2259160990785376,0.08276057040778557,12409598,1186.0
28,16,16,2019-08-30,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,37.633028,23.339183,EL30,Attiki,polygon,2019,original,1.767848375831771,2.142942024716585,0.03819718634205488,11007331,1435.0
29,16,16,2025-11-03,ΜΕΘΑΝΑ,37.633111,23.339306,EL30,Attiki,polygon,2024,original,3.333798500892904,2.211911896603889,0.03819718634205488,12742632,1229.0
30,17,17,2019-08-31,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,37.507731,23.408819,EL30,Attiki,polygon,2019,original,1.767848375831771,2.142942024716585,0.09867606471697511,11007331,1435.0
31,18,18,2019-09-03,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,37.630081,23.333064,EL30,Attiki,polygon,2019,original,1.767848375831771,2.142942024716585,0.03819718634205488,11007331,1435.0
32,18,18,2023-07-28,ΠΕΛΟΠΟΝΝΗΣΟΣ,37.631083,23.3355,EL30,Attiki,polygon,2023,original,19.7257436295224,2.2259160990785376,0.03819718634205488,12409598,1186.0
33,18,18,2025-11-03,ΜΕΘΑΝΑ,37.63113933333334,23.335518333333336,EL30,Attiki,polygon,2024,original,3.333798500892904,2.211911896603889,0.03819718634205488,12742632,1229.0
34,19,19,2019-09-04,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,37.569878,23.360492,EL30,Attiki,polygon,2019,original,1.767848375831771,2.142942024716585,0.025464790894703253,11007331,1435.0
35,20,20,2019-09-05,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,37.576344,23.359208,EL30,Attiki,polygon,2019,original,1.767848375831771,2.142942024716585,0.022281692032865348,11007331,1435.0
36,20,20,2023-08-02,ΠΕΛΟΠΟΝΝΗΣΟΣ,37.574167,23.359583,EL30,Attiki,polygon,2023,original,19.7257436295224,2.2259160990785376,0.025464790894703253,12409598,1186.0
37,20,20,2025-11-06,ΜΕΘΑΝΑ,37.5766612,23.3579056,EL30,Attiki,polygon,2024,original,3.333798500892904,2.211911896603889,0.022281692032865348,12742632,1229.0
38,22,22,2019-09-06,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,37.648358,23.164814,EL65,Peloponnisos,polygon,2019,original,-2.698260150780296,2.7080622486928316,0.025464790894703253,5291643,2024.0
39,23,23,2019-09-06,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,37.582833,23.235325,EL30,Attiki,polygon,2019,original,1.767848375831771,2.142942024716585,0.015915494309189534,11007331,1435.0
40,24,24,2019-09-07,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,37.692478,23.162006,EL65,Peloponnisos,polygon,2019,original,-2.698260150780296,2.7080622486928316,0.03819718634205488,5291643,2024.0
41,25,25,2019-09-07,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,37.696281,23.165869,EL65,Peloponnisos,polygon,2019,original,-2.698260150780296,2.7080622486928316,0.03819718634205488,5291643,2024.0
42,26,26,2019-09-07,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,37.713333,23.158167,EL65,Peloponnisos,polygon,2019,original,-2.698260150780296,2.7080622486928316,0.03819718634205488,5291643,2024.0
43,27,27,2019-09-08,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,37.726219,23.126111,EL65,Peloponnisos,polygon,2019,original,-2.698260150780296,2.7080622486928316,0.025464790894703253,5291643,2024.0
44,29,29,2019-09-16,ΣΕΡΙΦΟΣ,37.127919,24.431186,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.07002817496043395,39150147,9395.0
45,30,30,2019-09-16,ΣΕΡΙΦΟΣ,37.123653,24.495539,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.07002817496043395,39150147,9395.0
46,31,31,2019-09-16,ΣΕΡΙΦΟΣ,37.131006,24.435328,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.07002817496043395,39150147,9395.0
47,33,33,2019-09-17,ΣΕΡΙΦΟΣ,37.18315,24.445653,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.07002817496043395,39150147,9395.0
48,34,34,2019-09-17,ΣΕΡΙΦΟΣ,37.204192,24.47775,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.07002817496043395,39150147,9395.0
49,35,35,2019-09-17,ΣΕΡΙΦΟΣ,37.200244,24.51365,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.07002817496043395,39150147,9395.0
50,39,39,2019-09-18,ΚΙΜΩΛΟΣ,36.809528,24.591417,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.03183098861837907,39150147,9395.0
51,40,40,2019-09-18,ΚΙΜΩΛΟΣ,36.812372,24.590372,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.03183098861837907,39150147,9395.0
52,42,42,2019-09-18,ΚΙΜΩΛΟΣ,36.8298,24.573535,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.03183098861837907,39150147,9395.0
53,43,43,2019-09-18,ΚΙΜΩΛΟΣ,36.834539,24.571853,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.03183098861837907,39150147,9395.0
54,46,46,2019-09-19,ΚΙΜΩΛΟΣ,36.805692,24.522592,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.044563384065730696,39150147,9395.0
55,48,48,2019-09-20,ΗΡΑΚΛΕΙΑ,36.834044,25.432586,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.02864788975654116,39150147,9395.0
56,50,50,2019-09-20,ΗΡΑΚΛΕΙΑ,36.828461,25.423733,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.02864788975654116,39150147,9395.0
57,50,50,2022-12-21,ΗΡΑΚΛΕΙΑ,36.828556,25.423528,EL42,Notio Aigaio,polygon,2022,original,72.36697684771754,5.037389801877069,0.02864788975654116,36160001,6527.0
58,51,51,2019-09-20,ΗΡΑΚΛΕΙΑ,36.822533,25.435172,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.02864788975654116,39150147,9395.0
59,51,51,2022-12-21,ΗΡΑΚΛΕΙΑ,36.822528,25.43525,EL42,Notio Aigaio,polygon,2022,original,72.36697684771754,5.037389801877069,0.02864788975654116,36160001,6527.0
60,52,52,2019-09-20,ΗΡΑΚΛΕΙΑ,36.853392,25.451847,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.04138028520389279,39150147,9395.0
61,53,53,2019-09-21,ΗΡΑΚΛΕΙΑ,36.826611,25.462197,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.02864788975654116,39150147,9395.0
62,53,53,2022-12-21,ΗΡΑΚΛΕΙΑ,36.826639,25.462083,EL42,Notio Aigaio,polygon,2022,original,72.36697684771754,5.037389801877069,0.02864788975654116,36160001,6527.0
63,54,54,2019-09-21,ΗΡΑΚΛΕΙΑ,36.8245,25.458586,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.02864788975654116,39150147,9395.0
64,54,54,2022-12-21,ΗΡΑΚΛΕΙΑ,36.824639,25.458639,EL42,Notio Aigaio,polygon,2022,original,72.36697684771754,5.037389801877069,0.02864788975654116,36160001,6527.0
65,55,55,2019-09-22,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,36.844658,25.522726499999997,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.03501408748021698,39150147,9395.0
66,55,55,2022-12-21,ΣΧΟΙΝΟΥΣΑ,36.8446665,25.5227085,EL42,Notio Aigaio,polygon,2022,original,72.36697684771754,5.037389801877069,0.03501408748021698,36160001,6527.0
67,56,56,2019-09-22,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,36.856324,25.532918,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.03819718634205488,39150147,9395.0
68,56,56,2022-12-21,ΣΧΟΙΝΟΥΣΑ,36.85541666666666,25.534120333333338,EL42,Notio Aigaio,polygon,2022,original,72.36697684771754,5.037389801877069,0.03819718634205488,36160001,6527.0
69,57,57,2019-09-22,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,36.8561815,25.52338275,EL42,Notio Aigaio,nearest_polygon,2019,original,4.7930803388421594,5.079597183617213,0.0477464829275686,39150147,9395.0
70,57,57,2022-12-21,ΣΧΟΙΝΟΥΣΑ,36.85745816666667,25.523953666666667,EL42,Notio Aigaio,polygon,2022,original,72.36697684771754,5.037389801877069,0.0477464829275686,36160001,6527.0
71,61,61,2019-09-23,ΣΧΟΙΝΟΥΣΑ - ΟΦΕΙΔΟΥΣΣΑ,36.885722,25.512783,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.0954929658551372,39150147,9395.0
72,62,62,2019-09-24,ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ,36.902561,25.573142,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.07957747154594767,39150147,9395.0
73,63,63,2019-09-24,ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ,36.911969,25.580522,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.07957747154594767,39150147,9395.0
74,64,64,2019-09-24,ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ,36.913175,25.583225,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.07002817496043395,39150147,9395.0
75,65,65,2019-09-24,ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ,36.9140595,25.5911375,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.06684507609859604,39150147,9395.0
76,66,66,2019-09-25,ΑΝΩ - ΚΑΤΩ ΚΟΥΦΟΝΗΣΙ,36.945356,25.620528,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.06366197723675814,39150147,9395.0
77,68,68,2019-09-26,ΔΟΝΟΥΣΑ,37.090856,25.825272,EL42,Notio Aigaio,polygon,2019,original,4.7930803388421594,5.079597183617213,0.022281692032865348,39150147,9395.0
78,70,70,2019-09-28,ΑΝΑΦΗ,36.3491,25.82995,EL42,Notio Aigaio,nearest_polygon,2019,original,4.7930803388421594,5.079597183617213,0.006366197723675813,39150147,9395.0
