subset,rows,nonmissing_target,zero_count,zero_pct,positive_count,mean,median,std,max,positive_mean,positive_median,positive_mean_to_median_ratio,q01,positive_q01,q05,positive_q05,q10,positive_q10,q25,positive_q25,q50,positive_q50,q75,positive_q75,q90,positive_q90,q95,positive_q95,q99,positive_q99
all,1918,1918,1051,0.5479666319082378,867,2.0190133862365047,0.0,14.488014349796636,428.84615384615387,4.466514042447078,0.375,11.910704113192208,0.0,0.006762461709830077,0.0,0.02025618540138162,0.0,0.0393700787401574,0.0,0.1117403412295544,0.0,0.375,0.30099999999999993,1.7895319418089817,2.3250420168067225,8.52283582089552,7.22183908045972,15.271089108910862,39.29900492072161,62.95428571428595
strong_probable,518,518,317,0.611969111969112,201,1.7458322256215386,0.0,12.161417971291764,213.33333333333337,4.499209417273419,0.1624173748819641,27.7015277493753,0.0,0.0045484080571799,0.0,0.0137075718015665,0.0,0.0289532293986636,0.0,0.08,0.0,0.1624173748819641,0.11043335665767012,0.4030927835051546,0.3950968458244545,3.138888888888889,1.7688644164759688,26.4,49.969869565217344,68.33333333333333
