interval_id,canonical_site_id,Date,Latitude,Longitude,demographic_coordinate_source,Pct_Age_15_34,Pct_Age_65plus,OldAge_Dependency,Youth_Dependency,Avg_Household_Size,Pct_SinglePerson_HH,Pct_ForeignBorn,Unemployment_Rate,Daytime_Population_Pressure,Migration_Flows,UrbanRural_Class
0,1,2019-07-31,37.656139,23.956917,interval_coordinate,0.19353228091098196,0.2241766736391421,0.3526286172184815,0.22036569621500932,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Town_Suburb
1,1,2021-03-05,37.6530975,23.9587915,interval_coordinate,0.19205971101267438,0.23075208192913668,0.36475210432775784,0.21595779362144002,2.370506321254478,0.3234760863779753,0.11089524842721007,11.9,0.01603587687708093,149895.0,Town_Suburb
2,1,2021-03-17,37.656139,23.956917,interval_coordinate,0.19188798535937818,0.23006568468594757,0.3636865592680148,0.21710788705265846,2.370506321254478,0.3234760863779753,0.11089524842721007,11.9,0.01603587687708093,149895.0,Town_Suburb
3,1,2023-08-26,37.65531742857143,23.957472142857146,interval_coordinate,0.18626022200041123,0.2390772370440075,0.380770602751003,0.2118971083798138,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Town_Suburb
4,1,2023-09-02,37.656722,23.954667,interval_coordinate,0.18596729467521372,0.23773610244232377,0.37865895913313524,0.21411110530769883,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Town_Suburb
5,2,2019-08-02,37.6565,23.950917,interval_coordinate,0.19261510838764997,0.22075563704889573,0.3473533449143698,0.22612114935659483,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Town_Suburb
6,2,2021-03-04,37.6565415,23.9503195,interval_coordinate,0.19092410097248488,0.22621299003566667,0.3577036368043641,0.22356558322232797,2.370506321254478,0.3234760863779753,0.11089524842721007,11.9,0.01603587687708093,149895.0,Town_Suburb
7,2,2023-08-27,37.656667,23.951333,interval_coordinate,0.18549202974033568,0.2355601400194216,0.37523228526892455,0.21770391166726671,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Town_Suburb
8,3,2023-08-25,37.483111,23.90675,interval_coordinate,0.18127243765540904,0.27829957713473674,0.448411621152572,0.16284342580851718,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Rural
9,4,2019-08-03,37.656069,23.945375,interval_coordinate,0.1919370922515328,0.21822670665196145,0.34345165042617254,0.2303780524069755,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Town_Suburb
10,4,2021-03-04,37.656069,23.945375,interval_coordinate,0.19040569777049798,0.22414101663189887,0.35448456060213474,0.22704019299304914,2.370506321254478,0.3234760863779753,0.11089524842721007,11.9,0.01603587687708093,149895.0,Town_Suburb
11,4,2023-08-27,37.6559724,23.9437836,interval_coordinate,0.1848074224182032,0.23242562524215485,0.3702948393345511,0.2228806802375381,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Town_Suburb
12,5,2023-08-25,37.487490666666666,23.901111,interval_coordinate,0.181272508941155,0.27829956977182596,0.44841146612346244,0.1628433253367896,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Rural
13,6,2019-08-08,37.481969,23.9105,interval_coordinate,0.18974076991096792,0.2611642878772179,0.41292666347406626,0.16817276185730956,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
14,6,2023-08-25,37.482,23.910111,interval_coordinate,0.18127243765540904,0.27829957713473674,0.448411621152572,0.16284342580851718,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Rural
15,7,2023-08-25,37.480083,23.914028,interval_coordinate,0.18127243765540904,0.27829957713473674,0.448411621152572,0.16284342580851718,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Rural
16,8,2019-08-11,37.347844,23.276108,interval_coordinate,0.19024381961420547,0.24727363520581658,0.4047302737731887,0.23204088735690312,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
17,9,2019-08-11,37.338733,23.298261,interval_coordinate,0.1898879841137611,0.2571157371873504,0.41059637011358435,0.18633379920576562,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
