interval_id,site_id,Date,Latitude,Longitude,demographic_coordinate_source,Pct_Age_15_34,Pct_Age_65plus,OldAge_Dependency,Youth_Dependency,Avg_Household_Size,Pct_SinglePerson_HH,Pct_ForeignBorn,Unemployment_Rate,Daytime_Population_Pressure,Migration_Flows,UrbanRural_Class
0,1,2019-07-31,37.656139,23.956917,interval_coordinate,0.19353228091098196,0.2241766736391421,0.3526286172184815,0.22036569621500932,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Town_Suburb
1,1,2021-03-17,37.656139,23.956917,interval_coordinate,0.19188798535937818,0.23006568468594757,0.3636865592680148,0.21710788705265846,2.370506321254478,0.3234760863779753,0.11089524842721007,11.9,0.01603587687708093,149895.0,Town_Suburb
2,1,2023-08-26,37.656389,23.956472,interval_coordinate,0.186152177164547,0.23858254061484246,0.37999171872974147,0.2127137076034418,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Town_Suburb
3,2,2019-08-02,37.6565,23.950917,interval_coordinate,0.19261510838764997,0.22075563704889573,0.3473533449143698,0.22612114935659483,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Town_Suburb
4,2,2021-03-05,37.6565,23.950917,interval_coordinate,0.19103444536709327,0.22665404895419156,0.3583887490229102,0.2228260994920127,2.370506321254478,0.3234760863779753,0.11089524842721007,11.9,0.01603587687708093,149895.0,Town_Suburb
5,2,2023-08-27,37.656667,23.951333,interval_coordinate,0.18549202974033568,0.2355601400194216,0.37523228526892455,0.21770391166726671,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Town_Suburb
6,3,2019-08-03,37.655944,23.9465,interval_coordinate,0.19201245661996424,0.21850783178033095,0.3438854684956353,0.22990474863047608,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Town_Suburb
7,3,2021-03-04,37.655944,23.9465,interval_coordinate,0.1904754825689696,0.22441993788832879,0.35491796260038866,0.22657238003955052,2.370506321254478,0.3234760863779753,0.11089524842721007,11.9,0.01603587687708093,149895.0,Town_Suburb
8,3,2023-08-27,37.656139,23.946639,interval_coordinate,0.18497108017972722,0.2331749971674075,0.37147537634914346,0.2216429381501787,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Town_Suburb
9,5,2019-08-08,37.481969,23.9105,interval_coordinate,0.18974076991096792,0.2611642878772179,0.41292666347406626,0.16817276185730956,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
10,5,2023-08-25,37.480083,23.914028,interval_coordinate,0.18127243765540904,0.27829957713473674,0.448411621152572,0.16284342580851718,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Rural
11,6,2019-08-11,37.347844,23.276108,interval_coordinate,0.19024381961420547,0.24727363520581658,0.4047302737731887,0.23204088735690312,2.370506321254478,0.3234760863779753,0.11089524842721007,12.0,0.014778153814578417,241062.0,Rural
12,7,2019-08-11,37.338733,23.298261,interval_coordinate,0.1898879841137611,0.2571157371873504,0.41059637011358435,0.18633379920576562,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
13,7,2020-01-26,37.338703,23.298328,interval_coordinate,0.18906046706935162,0.26026752073508436,0.41713387408378744,0.1855805867528696,2.370506321254478,0.3234760863779753,0.11089524842721007,14.1,0.01701743418767799,179660.0,Rural
14,7,2023-06-09,37.338778,23.298306,interval_coordinate,0.18179671897596897,0.27424456500769184,0.44600583096555413,0.18030029542950715,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Rural
15,8,2019-08-14,37.338478,23.303542,interval_coordinate,0.1897984276495088,0.2595880679093414,0.41202496567733593,0.17519958308961012,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
16,8,2020-01-26,37.338606,23.303336,interval_coordinate,0.18896678611996304,0.2627065555916693,0.41855696810918824,0.17469622107908972,2.370506321254478,0.3234760863779753,0.11089524842721007,14.1,0.01701743418767799,179660.0,Rural
17,8,2023-06-08,37.338639,23.303333,interval_coordinate,0.18148027783963683,0.2766907089424303,0.44746269804347494,0.16973040072486745,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Rural
18,16,2019-08-30,37.633028,23.339183,interval_coordinate,0.16512137661099643,0.31374064326834533,0.55690153914695,0.21813588864863692,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
19,18,2019-09-03,37.630081,23.333064,interval_coordinate,0.16512133947529403,0.31374061254560504,0.5569015346783712,0.2181359512938607,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
20,18,2023-07-28,37.631083,23.3355,interval_coordinate,0.15753456163296697,0.33224263363331125,0.601923703761591,0.20977553454256273,2.370506321254478,0.3234760863779753,0.11089524842721007,9.4,0.012760109933254809,203366.0,Rural
21,19,2019-09-04,37.569878,23.360492,interval_coordinate,0.16512136698595642,0.3137406997657738,0.5569015836788261,0.21813606807590857,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
22,20,2019-09-05,37.576344,23.359208,interval_coordinate,0.16512136686139328,0.31374069442321767,0.5569015835554627,0.21813606420192921,2.370506321254478,0.3234760863779753,0.11089524842721007,16.9,0.017376562831108288,241062.0,Rural
23,20,2025-11-06,37.575111,23.359556,interval_coordinate,0.15503334512298614,0.3446597466850242,0.6301949782353391,0.19826054688977826,2.370506321254478,0.3234760863779753,0.11089524842721007,8.1,0.01617980357592546,210163.0,Rural
