canonical_site_id,region,beach_name,beaches,latitude,longitude,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,days_between_visits,previous_total_weight,next_total_weight,repollution_kg_per_day,repollution_kg_per_30_days,repollution_kg_per_90_days,previous_recycle,previous_non_recycle,previous_blue_net,next_recycle,next_non_recycle,next_blue_net,orientation,sediment,wind_direction_previous,wind_speed_previous,road_network,tourist_business,coastline_cleaned,width_length,previous_source_files,next_source_files,original_site_ids_previous,original_site_ids_next,site_confidence,match_quality,canonical_max_coordinate_spread_m,site_review_reason
4,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (3) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (4) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 1,37.656069,23.945375,2021-03-04,2021-03-10,2023-08-27,2023-09-02,900,1472.0,351.0,0.39,11.700000000000001,35.1,10.0,1187.0,275.0,130.0,180.0,41.0,ΒΟΡΕΙΑ,Mixed,SW,2.0,0.0,0.0,140.0,11900.0,Typhoon1,Typhoon2,3 | 2147,3 | 7355 | 7356 | 7357 | 7359,review,canonical_review,417.9307630232301,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
4,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 313 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 314 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 315 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 316 | ΠΆΤΡΟΚΛΟΣ AREA B,37.6559724,23.9437836,2023-08-27,2023-09-02,2024-04-11,2024-04-11,222,351.0,0.0,0.0,0.0,0.0,130.0,180.0,41.0,0.0,0.0,0.0,North,Mixed,N,5.0,0.0,0.0,126.0,23665.0,Typhoon2,Typhoon2,3 | 7355 | 7356 | 7357 | 7359,7491,review,canonical_review,417.9307630232301,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
5,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 292 | ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 293 | ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 294,37.487490666666666,23.901111,2023-08-25,2023-08-25,2024-04-12,2024-04-12,231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South,,NE,4.0,0.0,0.0,,,Typhoon2,Typhoon2,7328 | 7329 | 7330,3 | 7500 | 7502 | 7503,review,canonical_review,324.5579798389793,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
6,ΠΑΤΡΟΚΛΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 5,37.481969,23.9105,2019-08-08,2019-08-08,2023-08-25,2023-08-25,1478,221.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,North,Pebbles,N,4.0,0.0,0.0,833.0,17636.0,Typhoon1,Typhoon2,5,7332,medium,canonical_medium,43.49966464264821,multiple_special_numbers; multiple_regions
6,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 296,37.482,23.910111,2023-08-25,2023-08-25,2024-04-12,2024-04-12,231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South,,NE,4.0,0.0,0.0,,,Typhoon2,Typhoon2,7332,7498,medium,canonical_medium,43.49966464264821,multiple_special_numbers; multiple_regions
7,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 297,37.480083,23.914028,2023-08-25,2023-08-25,2024-04-12,2024-04-12,231,19.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,South,Pebbles,NE,4.0,0.0,0.0,315.0,6880.0,Typhoon2,Typhoon2,5,5,high,canonical_high,6.226915892175588,multiple_regions
8,ΔΟΚΟΣ,ΠΑΡΑΛΊΑ ΜΟΥΖΆΚΙ,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 7,37.347844,23.276108,2019-08-11,2019-08-11,2023-06-10,2023-06-10,1399,201.0,43.0,0.030736240171551108,0.9220872051465332,2.7662616154396,0.0,201.0,0.0,4.0,39.0,0.0,North,Pebbles,N,3.0,0.0,0.0,17.0,244.0,Typhoon1,Typhoon2,6,6,high,canonical_high,1.908824572619595,multiple_regions
9,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (3),37.338733,23.298261,2019-08-11,2019-08-13,2020-01-26,2020-01-26,166,604.0,40.0,0.24096385542168675,7.228915662650603,21.686746987951807,0.0,604.0,0.0,6.0,34.0,0.0,North,Mixed,N,3.0,0.0,0.0,78.0,214.0,Typhoon1,Typhoon1,7,7,medium,canonical_medium,11.461604510543157,multiple_regions
9,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 32,37.338703,23.298328,2020-01-26,2020-01-26,2023-06-09,2023-06-10,1230,40.0,214.0,0.17398373983739837,5.219512195121951,15.658536585365853,6.0,34.0,0.0,22.0,192.0,0.0,North,Pebbles,Calm,0.0,0.0,0.0,17.0,212.0,Typhoon1,Typhoon2,7,7,medium,canonical_medium,11.461604510543157,multiple_regions
9,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (2),37.338778,23.298306,2023-06-09,2023-06-10,2025-10-14,2025-10-14,857,214.0,105.0,0.12252042007001167,3.67561260210035,11.02683780630105,22.0,192.0,0.0,29.0,76.0,0.0,North,Pebbles,Calm,0.0,0.0,0.0,18.0,348.0,Typhoon2,Typhoon2,7,7,medium,canonical_medium,11.461604510543157,multiple_regions
10,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 2,37.338478,23.303542,2019-08-14,2019-08-14,2020-01-26,2020-01-26,165,312.0,83.0,0.503030303030303,15.090909090909092,45.27272727272727,0.0,312.0,0.0,10.0,73.0,0.0,North,Pebbles,E,2.0,0.0,0.0,46.0,298.0,Typhoon1,Typhoon1,8,8,medium,canonical_medium,27.49193403572984,multiple_regions
10,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 31,37.338606,23.303336,2020-01-26,2020-01-26,2023-06-08,2023-06-09,1229,83.0,44.0,0.03580146460537022,1.0740439381611064,3.2221318144833195,10.0,73.0,0.0,0.0,44.0,0.0,North,Pebbles,Calm,0.0,0.0,0.0,53.0,399.0,Typhoon1,Typhoon2,8,8,medium,canonical_medium,27.49193403572984,multiple_regions
10,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 127 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 127 (2),37.338639,23.303333,2023-06-08,2023-06-09,2025-10-14,2025-10-14,858,44.0,81.0,0.0944055944055944,2.832167832167832,8.496503496503497,0.0,44.0,0.0,35.0,46.0,0.0,North,Pebbles,E,2.0,0.0,0.0,50.0,396.0,Typhoon2,Typhoon2,8,8,medium,canonical_medium,27.49193403572984,multiple_regions
